#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_QXDJ01000004.1    -         Sodium               RF03071    cm        1       55   191602   191658      +    no    1 0.37   0.0   66.8   2.5e-09 !   Clostridium chromiireducens strain C1 Scaffold4, whole genome shotgun sequence
NZ_CP043998.1        -         Sodium               RF03071    cm        1       55  3345132  3345077      -    no    1 0.38   0.0   60.5     1e-07 !   Clostridium diolis strain DSM 15410 chromosome, complete genome
NZ_JAGGLM010000020.1 -         Sodium               RF03071    cm        1       55    11548    11604      +    no    1 0.37   0.0   60.3   1.1e-07 !   Clostridium algifaecis strain DSM 28783 Ga0454146_20, whole genome shotgun sequence
NZ_CP009170.1        -         Sodium               RF03071    cm        1       55   211445   211391      -    no    1 0.42   0.0   60.0   1.3e-07 !   Thermoanaerobacter kivui strain LKT-1 chromosome, complete genome
NZ_QNRX01000010.1    -         Sodium               RF03071    cm        1       55    52232    52181      -    no    1 0.42   0.0   59.6   1.7e-07 !   Alkalibaculum bacchi strain DSM 22112 Ga0244545_110, whole genome shotgun sequence
NZ_RXYB01000011.1    -         Sodium               RF03071    cm        1       55    19314    19259      -    no    1 0.41   0.0   59.3     2e-07 !   Acetobacterium tundrae strain DSM 917 NODE_11_length_112500_cov_22.463, whole genome shotgun sequence
NZ_BAEV01000060.1    -         Sodium               RF03071    cm        1       55     1339     1395      +    no    1 0.32   0.1   59.2   2.1e-07 !   Clostridium arbusti SL206, whole genome shotgun sequence
NZ_AZQP01000014.1    -         Sodium               RF03071    cm        1       55    20754    20807      +    no    1 0.43   0.0   59.1   2.2e-07 !   Fervidicella metallireducens AeB contig00014, whole genome shotgun sequence
NZ_CP096988.1        -         Sodium               RF03071    cm        1       55  2483118  2483174      +    no    1 0.32   0.0   59.0   2.4e-07 !   Clostridium aurantibutyricum strain DSM 793 chromosome, complete genome
NZ_CP096983.1        -         Sodium               RF03071    cm        1       55   840054   839998      -    no    1 0.32   0.0   59.0   2.4e-07 !   Clostridium roseum strain DSM 7320 chromosome, complete genome
NZ_CP096980.1        -         Sodium               RF03071    cm        1       55  4380687  4380743      +    no    1 0.32   0.0   59.0   2.4e-07 !   Clostridium felsineum DSM 794 chromosome, complete genome
NC_011837.1          -         Sodium               RF03071    cm        1       55   479792   479848      +    no    1 0.28   0.1   58.9   2.5e-07 !   Clostridium kluyveri NBRC 12016, complete sequence
NC_014328.1          -         Sodium               RF03071    cm        1       55   993389   993447      +    no    1 0.32   0.0   58.9   2.6e-07 !   Clostridium ljungdahlii DSM 13528, complete sequence
NZ_CP012395.1        -         Sodium               RF03071    cm        1       55  3241883  3241941      +    no    1 0.32   0.0   58.9   2.6e-07 !   Clostridium autoethanogenum DSM 10061 chromosome, complete genome
NZ_LROS01000008.1    -         Sodium               RF03071    cm        1       55     4174     4116      -    no    1 0.32   0.0   58.9   2.6e-07 !   Clostridium ragsdalei P11 CLRAG_contig000008, whole genome shotgun sequence
NZ_CP011803.1        -         Sodium               RF03071    cm        1       55   506024   506079      +    no    1 0.34   0.0   58.8   2.8e-07 !   Clostridium carboxidivorans P7 chromosome, complete genome
NZ_FQXL01000033.1    -         Sodium               RF03071    cm        1       55    54464    54524      +    no    1 0.38   0.1   58.7     3e-07 !   Clostridium magnum DSM 2767, whole genome shotgun sequence
NZ_CM001486.1        -         Sodium               RF03071    cm        1       55   326279   326333      +    no    1 0.47   0.0   58.4   3.4e-07 !   Thermoanaerobacter siderophilus SR4 chromosome, whole genome shotgun sequence
NZ_JH556658.1        -         Sodium               RF03071    cm        1       55   540594   540650      +    no    1 0.47   0.0   57.9   4.6e-07 !   Acetivibrio cellulolyticus CD2 Acecescaffold_8, whole genome shotgun sequence
NC_021181.2          -         Sodium               RF03071    cm        1       55  1940327  1940383      +    no    1 0.33   0.0   57.9   4.7e-07 !   Lactobacillus acidophilus La-14, complete sequence
NZ_RXYA01000007.1    -         Sodium               RF03071    cm        1       55    54956    55011      +    no    1 0.41   0.0   57.6   5.4e-07 !   Acetobacterium paludosum strain DSM 8237 NODE_7_length_179628_cov_35.5344, whole genome shotgun sequence
NC_003869.1          -         Sodium               RF03071    cm        1       55   266073   266019      -    no    1 0.49   0.0   57.3   6.6e-07 !   Caldanaerobacter subterraneus subsp. tengcongensis MB4, complete sequence
NZ_LGTC01000001.1    -         Sodium               RF03071    cm        1       55  5436627  5436680      +    no    1 0.50   0.0   57.3   6.7e-07 !   Pseudobacteroides cellulosolvens ATCC 35603 = DSM 2933 ctg1, whole genome shotgun sequence
NZ_SLUN01000026.1    -         Sodium               RF03071    cm        1       55    83068    83127      +    no    1 0.42   0.0   57.0   7.7e-07 !   Hydrogenispora ethanolica strain LX-B Ga0244694_1026, whole genome shotgun sequence
NZ_CP031835.1        -         Sodium               RF03071    cm        1       55  1341549  1341604      +    no    1 0.30   0.0   56.7   9.3e-07 !   Lactobacillus amylolyticus strain L5 chromosome, complete genome
NZ_BMBA01000007.1    -         Sodium               RF03071    cm        1       55   155658   155713      +    no    1 0.41   0.0   56.7   9.4e-07 !   Clostridium zeae strain CSC2 sequence07, whole genome shotgun sequence
NZ_JAGGLU010000008.1 -         Sodium               RF03071    cm        1       55    36767    36818      +    no    1 0.29   0.0   56.7   9.5e-07 !   Lactobacillus colini strain DSM 101872 Ga0454154_08, whole genome shotgun sequence
NZ_CP061341.1        -         Sodium               RF03071    cm        1       55  2029679  2029735      +    no    1 0.35   0.0   56.5   1.1e-06 !   Lactobacillus kefiranofaciens strain 1207 chromosome, complete genome
NC_017470.1          -         Sodium               RF03071    cm        1       55  1850426  1850483      +    no    1 0.34   0.0   56.3   1.2e-06 !   Lactobacillus amylovorus GRL1118, complete sequence
NZ_AZFU01000001.1    -         Sodium               RF03071    cm        1       55    78012    77955      -    no    1 0.34   0.0   56.3   1.2e-06 !   Lactobacillus kitasatonis DSM 16761 = JCM 1039 strain DSM 16761 NODE_3, whole genome shotgun sequence
NZ_CP063304.1        -         Sodium               RF03071    cm        1       55  1068592  1068650      +    no    1 0.41   0.0   56.3   1.2e-06 !   Blautia liquoris strain LZLJ-3 chromosome, complete genome
NZ_ACXX02000001.1    -         Sodium               RF03071    cm        1       55   253505   253451      -    no    1 0.49   0.0   56.2   1.3e-06 !   Ruminiclostridium papyrosolvens DSM 2782 ctg65, whole genome shotgun sequence
NZ_JAEEGB010000004.1 -         Sodium               RF03071    cm        1       55     8817     8870      +    no    1 0.37   0.0   56.1   1.4e-06 !   Clostridium aciditolerans strain DSM 17425 DSM17425_contig_4, whole genome shotgun sequence
NZ_CP047602.1        -         Sodium               RF03071    cm        1       55    89029    88978      -    no    1 0.50   0.0   55.9   1.5e-06 !   Thermoanaerobacterium aotearoense strain SCUT27 chromosome, complete genome
NC_017992.1          -         Sodium               RF03071    cm        1       55   487503   487554      +    no    1 0.50   0.0   55.9   1.5e-06 !   Thermoanaerobacterium saccharolyticum JW/SL-YS485, complete sequence
NZ_GG700752.1        -         Sodium               RF03071    cm        1       55   125691   125635      -    no    1 0.37   0.0   55.6   1.8e-06 !   Lactobacillus helveticus DSM 20075 = CGMCC 1.1877 strain DSM 20075 SCAFFOLD1, whole genome shotgun sequence
NZ_WBOA01000002.1    -         Sodium               RF03071    cm        1       55   516614   516564      -    no    1 0.31   0.0   55.5   1.9e-06 !   Lactobacillus gasseri strain BIO6369 Lactobacillus_gasseri_BIO6369_2, whole genome shotgun sequence
NZ_CP040500.1        -         Sodium               RF03071    cm        1       55  1876249  1876299      +    no    1 0.31   0.0   55.5   1.9e-06 !   Lactobacillus paragasseri JV-V03 chromosome, complete genome
NZ_WJBC01000016.1    -         Sodium               RF03071    cm        1       55    26216    26161      -    no    1 0.45   0.0   55.4   2.1e-06 !   Acetobacterium fimetarium strain DER-2019 NODE_16_length_67904_cov_12.6167, whole genome shotgun sequence
NZ_JAHLDL010000005.1 -         Sodium               RF03071    cm        1       55   146280   146333      +    no    1 0.39   0.0   55.3   2.1e-06 !   Clostridium bowmanii strain DSM 14206 contig00005, whole genome shotgun sequence
NZ_JAIZZM010000004.1 -         Sodium               RF03071    cm        1       55   208273   208326      +    no    1 0.39   0.0   55.3   2.1e-06 !   Clostridium tagluense strain CS002 contig00004, whole genome shotgun sequence
NZ_JAEEGB010000018.1 -         Sodium               RF03071    cm        1       55    59708    59656      -    no    1 0.43   0.0   55.3   2.2e-06 !   Clostridium aciditolerans strain DSM 17425 DSM17425_contig_18, whole genome shotgun sequence
NZ_ML136873.1        -         Sodium               RF03071    cm        1       55    29024    29075      +    no    1 0.37   0.0   55.2   2.2e-06 !   Lactobacillus xujianguonis strain HT111-2 Scaffold3, whole genome shotgun sequence
NZ_KK211291.1        -         Sodium               RF03071    cm        1       55   208030   207974      -    no    1 0.46   0.0   55.0   2.6e-06 !   Ruminiclostridium cellobioparum DSM 1351 = ATCC 15832 T344DRAFT_scaffold00008.8, whole genome shotgun sequence
NZ_CP014170.1        -         Sodium               RF03071    cm        1       55   717871   717929      +    no    1 0.37   0.0   54.8     3e-06 !   Clostridium tyrobutyricum strain KCTC 5387 chromosome, complete genome
NZ_QPJT01000005.1    -         Sodium               RF03071    cm        1       55   214951   214896      -    no    1 0.48   0.0   54.7     3e-06 !   Anaerobacterium chartisolvens strain DSM 27016 Ga0244570_105, whole genome shotgun sequence
NZ_FQXV01000001.1    -         Sodium               RF03071    cm        1       55   661770   661720      -    no    1 0.63   0.0   54.1   4.2e-06 !   Sporobacter termitidis DSM 10068, whole genome shotgun sequence
NZ_JAIZZK010000017.1 -         Sodium               RF03071    cm        1       55    75596    75649      +    no    1 0.39   0.0   54.1   4.5e-06 !   Clostridium algoriphilum strain DSM 16153 contig00017, whole genome shotgun sequence
NZ_CAKE01000022.1    -         Sodium               RF03071    cm        1       55   129392   129342      -    no    1 0.31   0.0   54.1   4.5e-06 !   Lactobacillus hominis DSM 23910 = CRBIP 24.179 strain type strain:CRBIP 24.179, whole genome shotgun sequence
NZ_MZGX01000009.1    -         Sodium               RF03071    cm        1       55   123107   123160      +    no    1 0.46   0.0   54.0   4.6e-06 !   Ruminiclostridium hungatei strain DSM 14427 CLHUN_contig000009, whole genome shotgun sequence
NZ_JAHLDV010000039.1 -         Sodium               RF03071    cm        1       55    10879    10826      -    no    1 0.39   0.0   53.9     5e-06 !   Clostridium frigoris strain DSM 14204 contig00039, whole genome shotgun sequence
NZ_CP025286.1        -         Sodium               RF03071    cm        1       55  2422763  2422713      -    no    1 0.55   0.0   53.8   5.1e-06 !   Ethanoligenens harbinense YUAN-3 chromosome, complete genome
NZ_RXHQ01000007.1    -         Sodium               RF03071    cm        1       55   107883   107827      -    no    1 0.42   0.0   53.7   5.6e-06 !   Xylanivirga thermophila strain SYSU GA17129 Scaffold7_1, whole genome shotgun sequence
NZ_AZGI01000045.1    -         Sodium               RF03071    cm        1       55    32356    32415      +    no    1 0.35   0.0   53.5   6.2e-06 !   Lactobacillus hamsteri DSM 5661 = JCM 6256 strain DSM 5661 NODE_54, whole genome shotgun sequence
NZ_CP039266.1        -         Sodium               RF03071    cm        1       55  1952136  1952192      +    no    1 0.39   0.0   53.4   6.6e-06 !   Lactobacillus crispatus strain DC21.1 chromosome, complete genome
NZ_NFKZ01000023.1    -         Sodium               RF03071    cm        1       55    24874    24818      -    no    1 0.39   0.0   53.4   6.8e-06 !   Lactobacillus gallinarum strain An153 An153_contig_23, whole genome shotgun sequence
NZ_CP062068.1        -         Sodium               RF03071    cm        1       55  1919311  1919360      +    no    1 0.30   0.0   53.3   6.8e-06 !   Lactobacillus johnsonii strain GHZ10a chromosome, complete genome
NZ_CP073653.1        -         Sodium               RF03071    cm        1       55  3830411  3830358      -    no    1 0.43   0.0   53.3   6.9e-06 !   Clostridium beijerinckii strain DSM 791 chromosome, complete genome
NZ_CP043998.1        -         Sodium               RF03071    cm        1       55  3837708  3837655      -    no    1 0.43   0.0   53.3   6.9e-06 !   Clostridium diolis strain DSM 15410 chromosome, complete genome
NZ_CAKD01000014.1    -         Sodium               RF03071    cm        1       55    15101    15158      +    no    1 0.40   0.0   53.3   6.9e-06 !   Lactobacillus pasteurii DSM 23907 = CRBIP 24.76 strain type strain:CRBIP 24.76, whole genome shotgun sequence
NZ_QFGA01000001.1    -         Sodium               RF03071    cm        1       55  1698456  1698398      -    no    1 0.49   0.0   53.3   7.1e-06 !   Pelotomaculum schinkii strain HH Psch_contig000001, whole genome shotgun sequence
NZ_CP015756.1        -         Sodium               RF03071    cm        1       55  1392106  1392163      +    no    1 0.40   0.0   53.3   7.1e-06 !   Clostridium estertheticum subsp. estertheticum strain DSM 8809 chromosome, complete genome
NZ_CP059829.1        -         Sodium               RF03071    cm        1       55  2122050  2122105      +    no    1 0.34   0.0   53.2   7.4e-06 !   Lactobacillus ultunensis strain Kx293C1 chromosome, complete genome
NZ_JAGGLT010000061.1 -         Sodium               RF03071    cm        1       55      167      223      +    no    1 0.44   0.0   53.1     8e-06 !   Thermoanaerobacterium butyriciformans strain DSM 101588 Ga0454153_61, whole genome shotgun sequence
NZ_LGTC01000001.1    -         Sodium               RF03071    cm        1       55  2932215  2932166      -    no    1 0.48   0.0   52.8   9.2e-06 !   Pseudobacteroides cellulosolvens ATCC 35603 = DSM 2933 ctg1, whole genome shotgun sequence
NZ_CP059276.1        -         Sodium               RF03071    cm        1       55  1811296  1811343      +    no    1 0.33   0.0   52.8   9.2e-06 !   Lactobacillus taiwanensis strain CLG01 chromosome, complete genome
NZ_BJUX01000001.1    -         Sodium               RF03071    cm        1       55    77504    77550      +    no    1 0.45   0.0   52.8   9.5e-06 !   Alkalibacterium putridalgicola strain NBRC 103243 sequence01, whole genome shotgun sequence
NZ_BFBY01000005.1    -         Sodium               RF03071    cm        1       55    18660    18707      +    no    1 0.33   0.0   52.8   9.6e-06 !   Lactobacillus rodentium strain DSM 24759 sequence05, whole genome shotgun sequence
NZ_BJUY01000017.1    -         Sodium               RF03071    cm        1       55    34748    34702      -    no    1 0.45   0.0   52.3   1.3e-05 !   Alkalibacterium kapii strain NBRC 103247 sequence17, whole genome shotgun sequence
NZ_FOLT01000001.1    -         Sodium               RF03071    cm        1       55   190528   190574      +    no    1 0.45   0.0   52.3   1.3e-05 !   Alkalibacterium subtropicum strain DSM 23664, whole genome shotgun sequence
NZ_FNYW01000001.1    -         Sodium               RF03071    cm        1       55      440      486      +    no    1 0.45   0.0   52.3   1.3e-05 !   Alkalibacterium gilvum strain DSM 25751, whole genome shotgun sequence
NZ_BJVX01000002.1    -         Sodium               RF03071    cm        1       55   164644   164690      +    no    1 0.47   0.0   52.1   1.4e-05 !   Marinilactibacillus psychrotolerans strain NBRC 100002 sequence02, whole genome shotgun sequence
NZ_FOSJ01000004.1    -         Sodium               RF03071    cm        1       55     9170     9216      +    no    1 0.47   0.0   52.1   1.4e-05 !   Marinilactibacillus piezotolerans strain DSM 16108, whole genome shotgun sequence
NZ_QPJT01000005.1    -         Sodium               RF03071    cm        1       55   241116   241170      +    no    1 0.53   0.0   52.0   1.5e-05 !   Anaerobacterium chartisolvens strain DSM 27016 Ga0244570_105, whole genome shotgun sequence
NZ_AUEI01000008.1    -         Sodium               RF03071    cm        1       55    63019    62972      -    no    1 0.38   0.0   51.3   2.3e-05 !   Lactobacillus psittaci DSM 15354 H628DRAFT_scaffold00005.5_C, whole genome shotgun sequence
NZ_PVXP01000085.1    -         Sodium               RF03071    cm        1       55    10096    10149      +    no    1 0.31   0.0   51.2   2.5e-05 !   Clostridium luticellarii strain DSM 29923 CLLU_contig000085, whole genome shotgun sequence
NZ_FOQE01000006.1    -         Sodium               RF03071    cm        1       55    60631    60676      +    no    1 0.46   0.0   50.9   2.8e-05 !   Pisciglobus halotolerans strain DSM 27630, whole genome shotgun sequence
NZ_JH556658.1        -         Sodium               RF03071    cm        1       55   548863   548918      +    no    1 0.48   0.0   50.9   2.8e-05 !   Acetivibrio cellulolyticus CD2 Acecescaffold_8, whole genome shotgun sequence
NZ_CP018218.1        -         Sodium               RF03071    cm        1       55   316699   316747      +    no    1 0.39   0.0   50.8     3e-05 !   Lactobacillus delbrueckii subsp. jakobsenii ZN7a-9 = DSM 26046 chromosome, complete genome
NZ_BOCI01000317.1    -         Sodium               RF03071    cm        1       55     3223     3271      +    no    1 0.39   0.0   50.8     3e-05 !   Lactobacillus nasalidis strain YZ03 sequence317, whole genome shotgun sequence
NZ_AUEG01000001.1    -         Sodium               RF03071    cm        1       55    95120    95073      -    no    1 0.50   0.0   50.8   3.1e-05 !   Lacticigenium napthae DSM 19658 H626DRAFT_scaffold00001.1_C, whole genome shotgun sequence
NZ_QFGA01000001.1    -         Sodium               RF03071    cm        1       55  1700552  1700493      -    no    1 0.55   0.0   50.4   3.9e-05 !   Pelotomaculum schinkii strain HH Psch_contig000001, whole genome shotgun sequence
NZ_CP044496.1        -         Sodium               RF03071    cm        1       55  1626335  1626393      +    no    1 0.34   0.0   50.4     4e-05 !   Lactobacillus acetotolerans strain LA749 chromosome, complete genome
NZ_QFGA01000001.1    -         Sodium               RF03071    cm        1       55  1700825  1700766      -    no    1 0.53   0.0   50.3   4.1e-05 !   Pelotomaculum schinkii strain HH Psch_contig000001, whole genome shotgun sequence
NZ_FXLN01000003.1    -         Sodium               RF03071    cm        1       55    60384    60322      -    no    1 0.41   0.0   50.2   4.2e-05 !   Clostridium merdae strain Marseille-P2953, whole genome shotgun sequence
NZ_SPQQ01000011.1    -         Sodium               RF03071    cm        1       55   120858   120915      +    no    1 0.45   0.0   50.0   4.7e-05 !   Desulfosporosinus fructosivorans strain 63.6F NODE_11_length_140071_cov_35.809081, whole genome shotgun sequence
NC_019970.1          -         Sodium               RF03071    cm        1       55  2737139  2737194      +    no    1 0.48   0.0   49.9   5.2e-05 !   Thermoanaerobacterium thermosaccharolyticum M0795, complete sequence
NZ_CP070872.1        -         Sodium               RF03071    cm        1       55   755021   755065      +    no    1 0.51   0.0   49.9   5.3e-05 !   Lactococcus taiwanensis strain K_LL004 chromosome, complete genome
NZ_FOXW01000003.1    -         Sodium               RF03071    cm        1       55   301582   301535      -    no    1 0.42   0.0   49.8   5.6e-05 !   Desemzia incerta strain DSM 20581, whole genome shotgun sequence
NZ_BFAV01000073.1    -         Sodium               RF03071    cm        1       55    14412    14361      -    no    1 0.48   0.0   49.7   5.8e-05 !   Desulfocucumis palustris strain NAW-5 NODE_73, whole genome shotgun sequence
NZ_OEQH01000001.1    -         Sodium               RF03071    cm        1       55   377898   377963      +    no    1 0.44   0.0   49.5   6.5e-05 !   Clostridium minihomine strain Marseille-P4642, whole genome shotgun sequence
NZ_QPJT01000007.1    -         Sodium               RF03071    cm        1       55    35565    35509      -    no    1 0.47   0.0   49.5   6.6e-05 !   Anaerobacterium chartisolvens strain DSM 27016 Ga0244570_107, whole genome shotgun sequence
NZ_CP048000.1        -         Sodium               RF03071    cm        1       55  1539738  1539686      -    no    1 0.40   0.0   49.0   8.9e-05 !   Anaerocolumna sedimenticola strain CBA3638 chromosome, complete genome
NZ_VUMX01000024.1    -         Sodium               RF03071    cm        1       55     6489     6539      +    no    1 0.41   0.0   48.7    0.0001 !   Lactobacillus porci strain Bifido-178-WT-2B seq24, whole genome shotgun sequence
NZ_KE136523.1        -         Sodium               RF03071    cm        1       55  1402686  1402731      +    no    1 0.48   0.0   48.7   0.00011 !   Enterococcus saccharolyticus subsp. saccharolyticus ATCC 43076 acyDA-supercont2.2, whole genome shotgun sequence
NZ_CP039712.1        -         Sodium               RF03071    cm        1       55   584091   584141      +    no    1 0.41   0.0   48.7   0.00011 !   Vagococcus zengguangii strain MN-17 chromosome, complete genome
NZ_CP016843.1        -         Sodium               RF03071    cm        1       55   334708   334754      +    no    1 0.51   0.0   48.7   0.00011 !   Carnobacterium divergens strain TMW 2.1579 chromosome, complete genome
NZ_NRPS01000001.1    -         Sodium               RF03071    cm        1       55   345738   345784      +    no    1 0.51   0.0   48.6   0.00011 !   Carnobacterium maltaromaticum strain A17 NODE_4_length_455835_cov_25.2513_ID_7, whole genome shotgun sequence
NZ_AZDU01000032.1    -         Sodium               RF03071    cm        1       55     9571     9523      -    no    1 0.41   0.0   48.6   0.00011 !   Lactobacillus equicursoris DSM 19284 = JCM 14600 = CIP 110162 strain DSM 19284 Scaffold32, whole genome shotgun sequence
NZ_NPNG01000001.1    -         Sodium               RF03071    cm        1       55     9446     9390      -    no    1 0.37   0.0   48.5   0.00012 !   Lactobacillus bombicola strain H70-3 scaffold1, whole genome shotgun sequence
NZ_PVTO01000002.1    -         Sodium               RF03071    cm        1       55    34950    34904      -    no    1 0.47   0.0   48.4   0.00013 !   Alkalibacterium olivapovliticus strain DSM 13175 Ga0180996_102, whole genome shotgun sequence
