#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_JAJNSX010000016.1 -         Sodium               RF03071    cm        1       55    41334    41286      -    no    1 0.39   0.0   48.1   1.3e-06 !   Lactobacillus delbrueckii subsp. bulgaricus strain FAM 22166 FAM22166-i1-1_scf16, whole genome shotgun sequence
NZ_JTCJ01000773.1    -         Sodium               RF03071    cm        1       55     1144     1188      +    no    1 0.51   0.0   22.1       5.8 ?   Pseudomonas putida strain SQ1 Contig_574_PpSQ1, whole genome shotgun sequence
NZ_AFUQ01000011.1    -         Sodium               RF03071    cm        1       55    57972    58016      +    no    1 0.33   0.0   22.1         6 ?   Streptococcus infantis X Contig92, whole genome shotgun sequence
NZ_AHQY01000084.1    -         Sodium               RF03071    cm        1       55      173      121      -    no    1 0.28   0.0   20.9        12 ?   Leptospira weilii str. UI 14631 contig_84, whole genome shotgun sequence
NZ_QSCN01000001.1    -         Sodium               RF03071    cm        1       55   510381   510318      -    no    1 0.31   0.0   20.8        12 ?   Blautia obeum strain OF03-14 OF03-14.Scaf1, whole genome shotgun sequence
NZ_AEPG01000360.1    -         Sodium               RF03071    cm        1       55    19499    19536      +    no    1 0.47   0.0   20.8        13 ?   Neisseria sicca DS1 contig00360, whole genome shotgun sequence
NZ_QNGO01000144.1    -         Sodium               RF03071    cm        1       55      197      160      -    no    1 0.18   0.2   20.8        13 ?   Enterococcus faecalis strain 14980 NODE_604_length_288_cov_0.567901, whole genome shotgun sequence
NZ_WMAD01000009.1    -         Sodium               RF03071    cm        1       55    27255    27301      +    no    1 0.30   0.0   20.7        13 ?   Streptococcus equi subsp. zooepidemicus strain ISU38408 contig009, whole genome shotgun sequence
NZ_CAKZ01000208.1    -         Sodium               RF03071    cm        1       55    34640    34690      +    no    1 0.39   0.0   20.5        16 ?   Cronobacter dublinensis 1210, whole genome shotgun sequence
NZ_QRVY01000004.1    -         Sodium               RF03071    cm        1       55   141575   141541      -    no    1 0.37   0.0   20.1        19 ?   Ruminococcus bromii strain AF21-10LB AF21-10LB.Scaf4, whole genome shotgun sequence
NZ_JAFIQP010000102.1 -         Sodium               RF03071    cm        1       55      735      689      -    no    1 0.34   0.0   20.0        21 ?   Anaerobutyricum soehngenii strain SL6/1/1 scaffold_173, whole genome shotgun sequence
NZ_MSCZ01000043.1    -         Sodium               RF03071    cm        1       55    50084    50026      -    no    1 0.25   0.1   19.9        22 ?   Acinetobacter baumannii strain 11598 scaffold28, whole genome shotgun sequence
NZ_BJKF01000011.1    -         Sodium               RF03071    cm        1       55    68818    68885      +    no    1 0.29   0.0   19.7        25 ?   Acinetobacter baumannii strain NIPH17_0019 contig_11, whole genome shotgun sequence
NZ_VEFN01000695.1    -         Sodium               RF03071    cm        1       55       19       65      +    no    1 0.38   0.4   19.4        29 ?   Acinetobacter lwoffii strain DE0136 NODE_695_length_251_cov_0.356322, whole genome shotgun sequence
NZ_MNPM02000019.1    -         Sodium               RF03071    cm        1       55    38111    38154      +    no    1 0.43   0.0   19.2        32 ?   Mastigocladus laminosus UU774 scaffold_18, whole genome shotgun sequence
NZ_VKDJ01000004.1    -         Sodium               RF03071    cm        1       55   186113   186182      +    no    1 0.54   0.0   19.2        32 ?   Corynebacterium aurimucosum strain 2226 NODE_4_length_197074_cov_45.4738, whole genome shotgun sequence
NZ_MOLL01000029.1    -         Sodium               RF03071    cm        1       55    35523    35556      +    no    1 0.44   0.0   18.7        44 ?   Vibrio cholerae strain DL4211 Contig_48, whole genome shotgun sequence
NZ_JAHEAH010000002.1 -         Sodium               RF03071    cm        1       55   496965   496915      -    no    1 0.47   0.0   18.6        47 ?   Flavihumibacter rivuli strain IMCC34838 NODE_2_length_739692_cov_30.023818, whole genome shotgun sequence
NZ_JADDWV010000202.1 -         Sodium               RF03071    cm        1       55       54       21      -    no    1 0.38   0.0   18.4        52 ?   Leptospira borgpetersenii serovar Balcanica strain SN_Ce_RL4 Contig_208_266.371, whole genome shotgun sequence
NZ_JADDWU010000215.1 -         Sodium               RF03071    cm        1       55      475      508      +    no    1 0.38   0.0   18.4        52 ?   Leptospira borgpetersenii serovar Balcanica strain SN_Ce_RL16 NODE_215_length_606_cov_94.109641, whole genome shotgun sequence
NZ_AUTJ01000219.1    -         Sodium               RF03071    cm        1       55    17400    17364      -    no    1 0.51   0.0   18.3        55 ?   Pseudoalteromonas sp. TB13 ctg219, whole genome shotgun sequence
NZ_JAGXLX010000001.1 -         Sodium               RF03071    cm        1       55    83661    83600      -    no    1 0.32   0.2   18.3        56 ?   'Parthenium sp.' phyllody phytoplasma strain PR08 1, whole genome shotgun sequence
NZ_AWWY01000106.1    -         Sodium               RF03071    cm        1       55     3417     3369      -    no    1 0.18   1.9   18.2        58 ?   Vibrio mimicus CAIM 1882 contig00126, whole genome shotgun sequence
NZ_AWWL01000110.1    -         Sodium               RF03071    cm        1       55     3418     3370      -    no    1 0.18   1.9   18.2        58 ?   Vibrio mimicus CAIM 1883 contig00126, whole genome shotgun sequence
NZ_RJFI01000050.1    -         Sodium               RF03071    cm        1       55      122       67      -    no    1 0.34   0.0   18.2        59 ?   Helicobacter pylori strain ZH35 50, whole genome shotgun sequence
NZ_MUPQ01000242.1    -         Sodium               RF03071    cm        1       55      268      323      +    no    1 0.34   0.0   18.2        59 ?   Helicobacter pylori strain CM22388 CM22388_Contig242, whole genome shotgun sequence
NZ_MUPI01000156.1    -         Sodium               RF03071    cm        1       55      169      224      +    no    1 0.34   0.0   18.2        59 ?   Helicobacter pylori strain CM22315 CM22315_Contig156, whole genome shotgun sequence
NZ_JADCMU010000400.1 -         Sodium               RF03071    cm        1       55       15       53      +    no    1 0.69   0.0   18.2        60 ?   Escherichia coli strain EF1-18-06-B NODE_398_length_275_cov_0.747475, whole genome shotgun sequence
NZ_JAHEAI010000001.1 -         Sodium               RF03071    cm        1       55  1422325  1422370      +    no    1 0.24   0.1   18.1        62 ?   Flavihumibacter fluminis strain IMCC34837 NODE_1_length_4996758_cov_32.528644, whole genome shotgun sequence
NZ_JTCJ01000246.1    -         Sodium               RF03071    cm        1       55     6232     6161      -    no    1 0.56   0.0   18.1        64 ?   Pseudomonas putida strain SQ1 Contig_259_PpSQ1, whole genome shotgun sequence
NZ_UKTN01000206.1    -         Sodium               RF03071    cm        1       55      279      331      +    no    1 0.32   0.1   18.0        68 ?   Klebsiella pneumoniae strain EuSCAPE_IT107, whole genome shotgun sequence
NZ_UJLF01000175.1    -         Sodium               RF03071    cm        1       55       60        8      -    no    1 0.32   0.1   18.0        68 ?   Klebsiella pneumoniae strain EuSCAPE_HR014, whole genome shotgun sequence
NZ_UJJV01000445.1    -         Sodium               RF03071    cm        1       55       74       22      -    no    1 0.32   0.1   18.0        68 ?   Klebsiella pneumoniae strain EuSCAPE_RS077, whole genome shotgun sequence
NZ_QFDO01000661.1    -         Sodium               RF03071    cm        1       55       76      122      +    no    1 0.43   0.0   17.9        69 ?   Acinetobacter baumannii strain LS066 G-1206G0404-13-LS066-contig_663, whole genome shotgun sequence
NZ_WHMR01000039.1    -         Sodium               RF03071    cm        1       55       53        8      -    no    1 0.33   0.0   17.9        70 ?   Campylobacter hepaticus strain NSW_1/NSW scaffold_38, whole genome shotgun sequence
NZ_QQQX01000011.1    -         Sodium               RF03071    cm        1       55     8387     8427      +    no    1 0.27   0.0   17.9        72 ?   Mesomycoplasma hyopneumoniae strain MHP699 Mhp699_11_length_32777_cov_12.7314, whole genome shotgun sequence
NZ_BAKK01000004.1    -         Sodium               RF03071    cm        1       55     5821     5848      +    no    1 0.36   0.0   17.8        74 ?   Bacteroides faecichinchillae JCM 17102, whole genome shotgun sequence
NZ_JAHEAH010000002.1 -         Sodium               RF03071    cm        1       55   610705   610758      +    no    1 0.48   0.0   17.8        75 ?   Flavihumibacter rivuli strain IMCC34838 NODE_2_length_739692_cov_30.023818, whole genome shotgun sequence
NZ_PVLK01000018.1    -         Sodium               RF03071    cm        1       55    12043    12088      +    no    1 0.28   0.0   17.8        76 ?   Streptococcus agalactiae strain SA12AQUAVET NODE_18_length_47319_cov_22.852, whole genome shotgun sequence
NZ_UTLV01000108.1    -         Sodium               RF03071    cm        1       55       31      107      +    no    1 0.47   0.0   17.7        79 ?   Pseudomonas viridiflava isolate p1.H8, whole genome shotgun sequence
NZ_LNMF01000079.1    -         Sodium               RF03071    cm        1       55      677      622      -    no    1 0.41   0.0   17.6        82 ?   Enterococcus faecium strain VRE-1402513 Contig_3244, whole genome shotgun sequence
NZ_AFUQ01000001.1    -         Sodium               RF03071    cm        1       55   611114   611158      +    no    1 0.42   0.0   17.5        91 ?   Streptococcus infantis X Contig83, whole genome shotgun sequence
NZ_UTLV01000108.1    -         Sodium               RF03071    cm        1       55      205      281      +    no    1 0.48   0.0   17.4        92 ?   Pseudomonas viridiflava isolate p1.H8, whole genome shotgun sequence
NZ_QQQX01000035.1    -         Sodium               RF03071    cm        1       55     2150     2102      -    no    1 0.27   0.0   17.4        93 ?   Mesomycoplasma hyopneumoniae strain MHP699 Mhp699_36_length_3326_cov_15.1942, whole genome shotgun sequence
NZ_MRVD01000073.1    -         Sodium               RF03071    cm        1       55    24712    24761      +    no    1 0.56   0.0   17.4        94 ?   Ensifer adhaerens strain X097 Scaffold113, whole genome shotgun sequence
NZ_JADRGC010000103.1 -         Sodium               RF03071    cm        1       55       89      125      +    no    1 0.35   0.0   17.4        94 ?   Porphyromonas levii strain DD38 JD52_102, whole genome shotgun sequence
NZ_JADRGU010000098.1 -         Sodium               RF03071    cm        1       55      184      148      -    no    1 0.35   0.0   17.4        94 ?   Porphyromonas levii strain DD20 JD33_97, whole genome shotgun sequence
NZ_JADRGN010000104.1 -         Sodium               RF03071    cm        1       55      151      115      -    no    1 0.35   0.0   17.4        94 ?   Porphyromonas levii strain DD27 JD4_103, whole genome shotgun sequence
NZ_VMIH01000415.1    -         Sodium               RF03071    cm        1       55      208      253      +    no    1 0.28   0.0   17.4        95 ?   Acinetobacter baumannii strain 20822 NODE_510_length_279_cov_1.210526, whole genome shotgun sequence
NZ_PHLE01000001.1    -         Sodium               RF03071    cm        3       28   329989   330013      +    no    1 0.20   0.0   17.4        96 ?   Enterococcus faecalis strain 16-196 16-196_scaffold_1_, whole genome shotgun sequence
NZ_LGHN01000054.1    -         Sodium               RF03071    cm        1       55      335      261      -    no    1 0.57   0.0   17.3     1e+02 ?   Streptomyces sp. XY332 P409contig145.1, whole genome shotgun sequence
NZ_AFUQ01000009.1    -         Sodium               RF03071    cm        1       55    17677    17732      +    no    1 0.25   0.5   17.2     1e+02 ?   Streptococcus infantis X ctg1128491769483, whole genome shotgun sequence
NZ_UITO01000255.1    -         Sodium               RF03071    cm        1       55      164      219      +    no    1 0.43   0.0   17.2   1.1e+02 ?   Klebsiella pneumoniae strain EuSCAPE_GR036, whole genome shotgun sequence
NZ_CABKNY010000009.1 -         Sodium               RF03071    cm        1       55   338100   338147      +    no    1 0.44   0.0   17.2   1.1e+02 ?   Citrobacter youngae isolate MGYG-HGUT-01317, whole genome shotgun sequence
NZ_PRGG01000032.1    -         Sodium               RF03071    cm        1       55   101424   101379      -    no    1 0.20   0.5   17.0   1.2e+02 ?   Acinetobacter baumannii strain AB-HZ-S15 sp_sm_15_ctg032_102056, whole genome shotgun sequence
NZ_BJKF01000018.1    -         Sodium               RF03071    cm        1       55    19766    19811      +    no    1 0.20   0.5   17.0   1.2e+02 ?   Acinetobacter baumannii strain NIPH17_0019 contig_18, whole genome shotgun sequence
NZ_ANML01000004.1    -         Sodium               RF03071    cm        1       55     4153     4123      -    no    1 0.42   0.0   17.0   1.2e+02 ?   Lacticaseibacillus paracasei subsp. paracasei Lpp223 contig00004, whole genome shotgun sequence
NZ_ANMM01000017.1    -         Sodium               RF03071    cm        1       55    48417    48387      -    no    1 0.42   0.0   17.0   1.2e+02 ?   Lacticaseibacillus paracasei subsp. paracasei Lpp225 contig00017, whole genome shotgun sequence
NZ_CABEFZ010000067.1 -         Sodium               RF03071    cm        1       55    31741    31693      -    no    1 0.43   0.0   16.9   1.3e+02 ?   Desulfosarcina cetonica strain xyz, whole genome shotgun sequence
NZ_MOLL01000014.1    -         Sodium               RF03071    cm        1       55    62989    63060      +    no    1 0.36   0.0   16.9   1.3e+02 ?   Vibrio cholerae strain DL4211 Contig_40, whole genome shotgun sequence
NZ_FPTZ01000288.1    -         Sodium               RF03071    cm        1       55      242      202      -    no    1 0.27   0.0   16.9   1.3e+02 ?   Mycobacterium tuberculosis strain 2926STDY5723788, whole genome shotgun sequence
NZ_SRUE01000349.1    -         Sodium               RF03071    cm        1       55      208      239      +    no    1 0.41   0.0   16.9   1.3e+02 ?   Mesorhizobium sp. M1C.F.Ca.ET.193.01.1.1 NODE_350_length_328_cov_0.502488, whole genome shotgun sequence
NZ_JAKETK010000002.1 -         Sodium               RF03071    cm        1       55    40304    40255      -    no    1 0.20   0.3   16.9   1.3e+02 ?   Terrisporobacter glycolicus strain WW3900 TerrGly2WW010522_contig_2, whole genome shotgun sequence
NZ_PHLE01000001.1    -         Sodium               RF03071    cm        1       55  1882204  1882161      -    no    1 0.39   0.0   16.8   1.3e+02 ?   Enterococcus faecalis strain 16-196 16-196_scaffold_1_, whole genome shotgun sequence
NZ_JAGXJO010000127.1 -         Sodium               RF03071    cm        1       55      241      322      +    no    1 0.37   0.0   16.8   1.3e+02 ?   Deinococcus sp. GbtcB9 B9_127, whole genome shotgun sequence
NZ_AWWY01000005.1    -         Sodium               RF03071    cm        1       55    22457    22498      +    no    1 0.43   0.0   16.8   1.4e+02 ?   Vibrio mimicus CAIM 1882 contig00005, whole genome shotgun sequence
NZ_AWWL01000005.1    -         Sodium               RF03071    cm        1       55    22461    22502      +    no    1 0.43   0.0   16.8   1.4e+02 ?   Vibrio mimicus CAIM 1883 contig00005, whole genome shotgun sequence
NZ_JPGN01000541.1    -         Sodium               RF03071    cm        1       55    34681    34636      -    no    1 0.46   0.0   16.8   1.4e+02 ?   Nitrosococcus oceani C-27 map unlocalized plasmid plasmid A contig_5, whole genome shotgun sequence
NZ_MNPM02000003.1    -         Sodium               RF03071    cm        1       55    50464    50415      -    no    1 0.22   0.1   16.7   1.4e+02 ?   Mastigocladus laminosus UU774 scaffold_2, whole genome shotgun sequence
NZ_JPGN01000036.1    -         Sodium               RF03071    cm        1       55    54117    54180      +    no    1 0.47   0.0   16.7   1.4e+02 ?   Nitrosococcus oceani C-27 contig_48, whole genome shotgun sequence
NZ_RDBW01000051.1    -         Sodium               RF03071    cm        1       55    28249    28210      -    no    1 0.22   0.0   16.6   1.5e+02 ?   Pseudoalteromonas sp. J010 scaffold_50, whole genome shotgun sequence
NZ_UJJV01000561.1    -         Sodium               RF03071    cm       36       55       24       44      +    no    2 0.43   0.0   16.6   1.5e+02 ?   Klebsiella pneumoniae strain EuSCAPE_RS077, whole genome shotgun sequence
NZ_QYUU01000011.1    -         Sodium               RF03071    cm        1       55    23095    23133      +    no    1 0.28   0.0   16.5   1.6e+02 ?   Campylobacter coli strain F8 Contig_11, whole genome shotgun sequence
NZ_NNMY01000553.1    -         Sodium               RF03071    cm        1       55      215      175      -    no    1 0.22   0.1   16.5   1.6e+02 ?   Vibrio parahaemolyticus strain B8_5 B8_5_contig553, whole genome shotgun sequence
NZ_JAHEAI010000001.1 -         Sodium               RF03071    cm        1       55  3073156  3073111      -    no    1 0.54   0.0   16.4   1.7e+02 ?   Flavihumibacter fluminis strain IMCC34837 NODE_1_length_4996758_cov_32.528644, whole genome shotgun sequence
NZ_CABEFZ010000082.1 -         Sodium               RF03071    cm        1       55    85924    85873      -    no    1 0.48   0.0   16.4   1.7e+02 ?   Desulfosarcina cetonica strain xyz, whole genome shotgun sequence
NZ_VLFG01000936.1    -         Sodium               RF03071    cm        1       55      216      136      -    no    1 0.54   0.0   16.4   1.7e+02 ?   Stenotrophomonas maltophilia strain AS012734 AS012734_939, whole genome shotgun sequence
NZ_SCZP01001000.1    -         Sodium               RF03071    cm        1       55      258      178      -    no    1 0.54   0.0   16.4   1.7e+02 ?   Pseudomonas aeruginosa strain 55 scaffold_999, whole genome shotgun sequence
NZ_VZIP01000889.1    -         Sodium               RF03071    cm        1       55      267      187      -    no    1 0.54   0.0   16.4   1.7e+02 ?   Pseudomonas aeruginosa strain KCJ3K57 NODE_889_length_452_cov_1.209231, whole genome shotgun sequence
NZ_MNPM02000001.1    -         Sodium               RF03071    cm        4       27   614660   614636      -    no    1 0.36   0.0   16.4   1.7e+02 ?   Mastigocladus laminosus UU774 scaffold_0, whole genome shotgun sequence
NZ_MRVD01000001.1    -         Sodium               RF03071    cm        1       55   743353   743309      -    no    1 0.51   0.0   16.4   1.7e+02 ?   Ensifer adhaerens strain X097 Scaffold1, whole genome shotgun sequence
NZ_PZBF01000020.1    -         Sodium               RF03071    cm        1       55       39       79      +    no    1 0.27   0.0   16.4   1.7e+02 ?   Staphylococcus chromogenes strain SNUC 4584 contig020, whole genome shotgun sequence
NZ_BDGP01000116.1    -         Sodium               RF03071    cm        1       55     9938     9994      +    no    1 0.42   0.0   16.3   1.8e+02 ?   Thaumasiovibrio occultus strain C4II189, whole genome shotgun sequence
NZ_LYGX01000008.1    -         Sodium               RF03071    cm        1       55      185      214      +    no    1 0.50   0.0   16.3   1.8e+02 ?   Acinetobacter baumannii strain XH755 XH755_contig_105, whole genome shotgun sequence
NZ_AWWY01000234.1    -         Sodium               RF03071    cm        1       55      793      753      -    no    1 0.51   0.0   16.2   1.9e+02 ?   Vibrio mimicus CAIM 1882 contig00285, whole genome shotgun sequence
NZ_AWWL01000228.1    -         Sodium               RF03071    cm        1       55      902      862      -    no    1 0.51   0.0   16.2   1.9e+02 ?   Vibrio mimicus CAIM 1883 contig00281, whole genome shotgun sequence
NZ_AWWL01000296.1    -         Sodium               RF03071    cm        1       55      114       74      -    no    1 0.51   0.0   16.2   1.9e+02 ?   Vibrio mimicus CAIM 1883 contig00402, whole genome shotgun sequence
NZ_NNIW01000713.1    -         Sodium               RF03071    cm        1       55      231      192      -    no    1 0.43   0.0   16.2   1.9e+02 ?   Vibrio parahaemolyticus strain D5_7 D5_7_contig713, whole genome shotgun sequence
NZ_MCWV02000003.1    -         Sodium               RF03071    cm        1       55   350370   350341      -    no    1 0.43   0.0   16.1     2e+02 ?   Vibrio lentus strain 10N.261.55.C8 10N26155C8_2, whole genome shotgun sequence
NZ_JAKETK010000005.1 -         Sodium               RF03071    cm        1       55   117908   117851      -    no    1 0.34   0.0   16.0   2.1e+02 ?   Terrisporobacter glycolicus strain WW3900 TerrGly2WW010522_contig_5, whole genome shotgun sequence
NZ_LAOH01000026.1    -         Sodium               RF03071    cm        1       55     1449     1503      +    no    1 0.45   0.0   16.0   2.1e+02 ?   Rickettsia amblyommatis str. Darkwater craDarkwater.contig.25_1, whole genome shotgun sequence
NZ_QQQX01000002.1    -         Sodium               RF03071    cm        1       55    19806    19846      +    no    1 0.15   2.2   16.0   2.2e+02 ?   Mesomycoplasma hyopneumoniae strain MHP699 Mhp699_2_length_78028_cov_17.4444, whole genome shotgun sequence
NZ_JAHEAI010000001.1 -         Sodium               RF03071    cm        1       55  4423647  4423706      +    no    1 0.43   0.0   16.0   2.2e+02 ?   Flavihumibacter fluminis strain IMCC34837 NODE_1_length_4996758_cov_32.528644, whole genome shotgun sequence
NZ_JAFIQP010000018.1 -         Sodium               RF03071    cm        1       55       31       79      +    no    1 0.31   0.1   16.0   2.2e+02 ?   Anaerobutyricum soehngenii strain SL6/1/1 scaffold_241, whole genome shotgun sequence
NZ_MNPM02000001.1    -         Sodium               RF03071    cm        1       55   143782   143725      -    no    1 0.45   0.0   16.0   2.2e+02 ?   Mastigocladus laminosus UU774 scaffold_0, whole genome shotgun sequence
NZ_PHLE01000001.1    -         Sodium               RF03071    cm        1       55  1606285  1606237      -    no    1 0.37   0.0   16.0   2.2e+02 ?   Enterococcus faecalis strain 16-196 16-196_scaffold_1_, whole genome shotgun sequence
NZ_AWWY01000131.1    -         Sodium               RF03071    cm        1       55    48198    48149      -    no    1 0.44   0.0   15.9   2.2e+02 ?   Vibrio mimicus CAIM 1882 contig00152, whole genome shotgun sequence
NZ_VWYC01000001.1    -         Sodium               RF03071    cm        1       55    74608    74559      -    no    1 0.44   0.0   15.9   2.2e+02 ?   Vibrio mimicus strain ATCC 33654 contig1, whole genome shotgun sequence
NZ_AWWL01000131.1    -         Sodium               RF03071    cm        1       55    52856    52807      -    no    1 0.44   0.0   15.9   2.2e+02 ?   Vibrio mimicus CAIM 1883 contig00148, whole genome shotgun sequence
NZ_JAHEAH010000001.1 -         Sodium               RF03071    cm        1       55   345266   345215      -    no    1 0.42   0.0   15.9   2.3e+02 ?   Flavihumibacter rivuli strain IMCC34838 NODE_1_length_765936_cov_28.473528, whole genome shotgun sequence
NZ_MOLL01000001.1    -         Sodium               RF03071    cm        1       55    71283    71339      +    no    1 0.54   0.0   15.9   2.3e+02 ?   Vibrio cholerae strain DL4211 Contig_69, whole genome shotgun sequence
NZ_VMIH01000050.1    -         Sodium               RF03071    cm        1       55      707      662      -    no    1 0.37   0.0   15.9   2.3e+02 ?   Acinetobacter baumannii strain 20822 NODE_54_length_1035_cov_0.192731, whole genome shotgun sequence
NZ_WHMR01000039.1    -         Sodium               RF03071    cm        1       55     1180     1135      -    no    1 0.35   0.0   15.9   2.3e+02 ?   Campylobacter hepaticus strain NSW_1/NSW scaffold_38, whole genome shotgun sequence
NZ_WMAD01000011.1    -         Sodium               RF03071    cm        1       55    42330    42291      -    no    1 0.30   0.0   15.9   2.3e+02 ?   Streptococcus equi subsp. zooepidemicus strain ISU38408 contig011, whole genome shotgun sequence
NZ_JACFAY010000009.1 -         Sodium               RF03071    cm        1       55     9935     9892      -    no    1 0.32   0.0   15.8   2.4e+02 ?   Borreliella garinii subsp. bavariensis strain PBar PBar_lp28-7_to_Lubl25, whole genome shotgun sequence
NZ_CDMV01000025.1    -         Sodium               RF03071    cm        1       55   104993   105041      +    no    1 0.45   0.0   15.8   2.5e+02 ?   Klebsiella variicola strain 801, whole genome shotgun sequence
NZ_SRKT01000003.1    -         Sodium               RF03071    cm        1       55   801044   801003      -    no    1 0.31   0.0   15.8   2.5e+02 ?   Flavobacterium columnare strain 1723 contig3, whole genome shotgun sequence
NZ_MILP01000081.1    -         Sodium               RF03071    cm        1       55      274      219      -    no    1 0.36   0.0   15.7   2.5e+02 ?   Helicobacter pylori strain MGms44 MGms44_Contig081, whole genome shotgun sequence
NZ_AUTJ01000086.1    -         Sodium               RF03071    cm        1       55    11082    11114      +    no    1 0.39   0.0   15.7   2.5e+02 ?   Pseudoalteromonas sp. TB13 ctg86, whole genome shotgun sequence
NZ_MLFE01000013.1    -         Sodium               RF03071    cm        1       55     8165     8137      -    no    1 0.55   0.0   15.7   2.6e+02 ?   Pantoea allii strain LMG 24248 Contig0013_, whole genome shotgun sequence
NZ_MOLM01000006.1    -         Sodium               RF03071    cm        1       55    69499    69554      +    no    1 0.36   0.0   15.7   2.6e+02 ?   Vibrio cholerae strain DL4215 AB_SE_12_CTTGTA_L008_R2_001_(paired)_contig_6, whole genome shotgun sequence
NZ_QROA01000034.1    -         Sodium               RF03071    cm        3       28    13893    13869      -    no    1 0.08   0.7   15.7   2.6e+02 ?   Lachnospira eligens strain AF41-18 AF41-18.Scaf34, whole genome shotgun sequence
NZ_AKBW01000001.1    -         Sodium               RF03071    cm        1       55   437787   437837      +    no    1 0.51   0.0   15.6   2.7e+02 ?   Streptococcus pneumoniae TIGR4 chromosome, whole genome shotgun sequence
NZ_AUTJ01000053.1    -         Sodium               RF03071    cm        1       55     3983     4024      +    no    1 0.38   0.0   15.6   2.7e+02 ?   Pseudoalteromonas sp. TB13 ctg53, whole genome shotgun sequence
NZ_QFLU01000222.1    -         Sodium               RF03071    cm        1       55      282      249      -    no    1 0.44   0.0   15.6   2.8e+02 ?   Enterobacter cloacae complex sp. 4DZ3-17B2 scaffold_261, whole genome shotgun sequence
NZ_ANML01000003.1    -         Sodium               RF03071    cm        1       55    10349    10398      +    no    1 0.38   0.0   15.5   2.8e+02 ?   Lacticaseibacillus paracasei subsp. paracasei Lpp223 contig00003, whole genome shotgun sequence
NZ_ANMI01000219.1    -         Sodium               RF03071    cm        1       55    10764    10715      -    no    1 0.38   0.0   15.5   2.8e+02 ?   Lacticaseibacillus paracasei subsp. paracasei Lpp22 contig00253, whole genome shotgun sequence
NZ_QRVY01000014.1    -         Sodium               RF03071    cm        1       55    19572    19627      +    no    1 0.39   0.0   15.5   2.9e+02 ?   Ruminococcus bromii strain AF21-10LB AF21-10LB.Scaf14, whole genome shotgun sequence
NZ_PNDJ01000324.1    -         Sodium               RF03071    cm        1       55      162      127      -    no    1 0.33   0.0   15.5   2.9e+02 ?   Pseudoalteromonas sp. S1609 S1609_S13_L001_R1_001__paired__contig_331, whole genome shotgun sequence
