#target name         accession query name                    accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- ----------------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
JAAYCJ010000321.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     2828     2780      -    no    1 0.73   0.0   56.2     3e-07 !   Phycisphaerae bacterium isolate AS06rmzACSIP_418 543678_AS06, whole genome shotgun sequence
QZKH01000003.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   515814   515769      -    no    1 0.48   0.0   50.8   9.8e-06 !   Candidatus Omnitrophica bacterium isolate SURF_18 Ga0104751_1000002, whole genome shotgun sequence
NZ_JAFCKW010000002.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   152815   152864      +    no    1 0.68   0.0   50.8     1e-05 !   Bradyrhizobium diazoefficiens strain SZCCT0138 NODE_2, whole genome shotgun sequence
NZ_NEVT01000006.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   296138   296086      -    no    1 0.70   0.0   50.8     1e-05 !   Bordetella genomosp. 2 strain AU8256 NODE_29_length_1664_cov_29.9571_ID_57, whole genome shotgun sequence
JACRJX010000015.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   418301   418254      -    no    1 0.62   0.0   50.8     1e-05 !   Verrucomicrobia bacterium isolate NC_groundwater_1840_Pr3_B-0.1um_61_25 SR-2_scaffold_141_829293, whole genome shotgun sequence
NZ_NEVL01000003.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1591888  1591835      -    no    1 0.65   0.0   50.7   1.1e-05 !   Bordetella genomosp. 1 strain AU17610 NODE_5_length_449437_cov_23.4316_ID_9, whole genome shotgun sequence
NZ_JACHOS010000005.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   205855   205907      +    no    1 0.74   0.0   50.7   1.1e-05 !   Methylorubrum rhodesianum strain DSM 5687 Ga0373205_05, whole genome shotgun sequence
NZ_WJIE01000003.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   839617   839661      +    no    1 0.69   0.0   50.6   1.1e-05 !   Polyangium spumosum strain DSM 14734 Scaffold3, whole genome shotgun sequence
RGQD01000465.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     2171     2122      -    no    1 0.64   0.0   50.6   1.1e-05 !   Betaproteobacteria bacterium isolate WB8_3_330 contig_100_464, whole genome shotgun sequence
NC_017075.1          -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1809731  1809683      -    no    1 0.80   0.3   50.5   1.2e-05 !   Rubrivivax gelatinosus IL144, complete sequence
NC_009937.1          -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1486636  1486585      -    no    1 0.67   0.0   50.5   1.2e-05 !   Azorhizobium caulinodans ORS 571, complete sequence
NZ_CP011971.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1818491  1818439      -    no    1 0.62   0.0   50.5   1.2e-05 !   Steroidobacter denitrificans strain DSM 18526 chromosome, complete genome
NZ_LMIJ01000008.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   206449   206499      +    no    1 0.67   0.0   50.4   1.3e-05 !   Acidovorax sp. Root219 contig_16, whole genome shotgun sequence
NZ_RKMB01000002.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   191616   191663      +    no    1 0.73   0.0   50.4   1.3e-05 !   Ramlibacter sp. WS9 NODE_2_length_612727_cov_37.2678_ID_3073, whole genome shotgun sequence
DUPH01000338.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    12311    12362      +    no    1 0.67   0.0   50.3   1.4e-05 !   TPA_asm: Lentisphaerae bacterium isolate AS08sgBPME_287 244745_AS08, whole genome shotgun sequence
JAAZOZ010000250.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     3104     3056      -    no    1 0.49   0.0   50.2   1.5e-05 !   Smithella sp. isolate AS4AglBPMA_11 14973_AS4A, whole genome shotgun sequence
NZ_RAWG01000051.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     9407     9354      -    no    1 0.70   0.0   50.2   1.5e-05 !   Corallococcus sicarius strain CA040B NODE_51_42284_cov_45.8614, whole genome shotgun sequence
NZ_JACCEM010000002.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    93737    93789      +    no    1 0.68   0.0   50.1   1.6e-05 !   Parapusillimonas granuli strain LMG 24012 NODE_2_length_578101_cov_73.382813, whole genome shotgun sequence
NZ_FONX01000003.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    62398    62446      +    no    1 0.76   0.0   50.0   1.7e-05 !   Acidovorax wautersii strain DSM 27981, whole genome shotgun sequence
NZ_SGWZ01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   558116   558168      +    no    1 0.66   0.0   49.9   1.7e-05 !   Kerstersia gyiorum strain DSM 16618 Ga0310503_11, whole genome shotgun sequence
JAGNHB010000037.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    44009    43960      -    no    1 0.76   0.0   49.9   1.8e-05 !   Acidobacteria bacterium isolate Go_SlDig_bin_149 Go_SlDig_1374_length_56602_cov_22.848057, whole genome shotgun sequence
JACRJX010000015.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   417307   417260      -    no    1 0.65   0.0   49.9   1.8e-05 !   Verrucomicrobia bacterium isolate NC_groundwater_1840_Pr3_B-0.1um_61_25 SR-2_scaffold_141_829293, whole genome shotgun sequence
NZ_VJWE01000015.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   245342   245392      +    no    1 0.75   0.1   49.8   1.9e-05 !   Acidovorax delafieldii strain DSM 64 Ga0064100_105, whole genome shotgun sequence
NZ_FKBS01000014.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1274286  1274235      -    no    1 0.67   0.0   49.8   1.9e-05 !   Bordetella ansorpii strain SMC-8986T, whole genome shotgun sequence
NZ_JAAIYO010000017.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     9912     9868      -    no    1 0.69   0.0   49.8     2e-05 !   Corallococcus sp. ZKHCc1 1396 Cce1ZK_17, whole genome shotgun sequence
MEFP01000023.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    40319    40267      -    no    1 0.75   0.0   49.8     2e-05 !   Xanthomonadaceae bacterium SCN 69-320 ABS97_C0023, whole genome shotgun sequence
NZ_JAFCLN010000005.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   412560   412609      +    no    1 0.68   0.0   49.7     2e-05 !   Bradyrhizobium lablabi strain SZCCT0009 NODE_5, whole genome shotgun sequence
NZ_DF238913.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    30292    30241      -    no    1 0.67   0.0   49.7     2e-05 !   Acidovorax sp. MR-S7, whole genome shotgun sequence
NZ_LARW01000054.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    40371    40423      +    no    1 0.66   0.0   49.7     2e-05 !   Sphingomonas sp. SRS2 contig54, whole genome shotgun sequence
NZ_BBJH01000023.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    64100    64047      -    no    1 0.65   0.0   49.7     2e-05 !   Paraburkholderia heleia NBRC 101817, whole genome shotgun sequence
NZ_JAAGPI010000003.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   189529   189476      -    no    1 0.65   0.0   49.7   2.1e-05 !   Burkholderia sp. Ac-20365 NODE_3_length_490546_cov_33.398987/0/0, whole genome shotgun sequence
NZ_JAHBRW010000001.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1006849  1006798      -    no    1 0.71   0.0   49.6   2.1e-05 !   Chelatococcus sp. YT9 YT9_1, whole genome shotgun sequence
NZ_SSMQ01000013.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   176643   176687      +    no    1 0.69   0.0   49.6   2.1e-05 !   Polyangium fumosum strain DSM 14668 Scaffold13_1, whole genome shotgun sequence
NZ_SLXD01000031.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     1420     1372      -    no    1 0.80   0.2   49.6   2.2e-05 !   Rubrivivax gelatinosus strain DSM 1709 Ga0310528_131, whole genome shotgun sequence
NZ_WVTD01000008.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   157646   157597      -    no    1 0.66   0.0   49.6   2.2e-05 !   Novosphingobium sp. FGD1 NODE_8_length_190061_cov_34.815699, whole genome shotgun sequence
JACRHS010000007.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    23019    23066      +    no    1 0.62   0.0   49.6   2.2e-05 !   Opitutae bacterium isolate NC_groundwater_1783_Pr3_B-0.1um_64_19 SR-2_scaffold_141_559045, whole genome shotgun sequence
JACRDR010000508.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     8514     8468      -    no    1 0.68   0.0   49.6   2.2e-05 !   Elusimicrobia bacterium isolate NC_groundwater_1677_Pr3_B-0.1um_68_8 SR-2_scaffold_141_4175364, whole genome shotgun sequence
NZ_LLYB01000071.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   367184   367233      +    no    1 0.64   0.0   49.5   2.3e-05 !   Bradyrhizobium lablabi strain CCBAU 23086 scaffold4, whole genome shotgun sequence
NZ_JAHBRX010000001.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  3784727  3784778      +    no    1 0.63   0.0   49.5   2.4e-05 !   Chelatococcus sp. HY11 HY11_1, whole genome shotgun sequence
NZ_JACJUG010000056.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     1596     1549      -    no    1 0.75   0.0   49.5   2.4e-05 !   Mitsuaria sp. WAJ17 NODE_56_length_11233_cov_35.015217, whole genome shotgun sequence
NZ_FQUZ01000029.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     2915     2862      -    no    1 0.72   0.0   49.4   2.5e-05 !   Lampropedia hyalina DSM 16112, whole genome shotgun sequence
SCVU01000696.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     4602     4557      -    no    1 0.65   0.0   49.4   2.5e-05 !   Planctomycetes bacterium isolate GW928_bin.9 GW928_bin.9-38415-1, whole genome shotgun sequence
DNHS01000030.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    23265    23213      -    no    1 0.49   0.0   49.4   2.5e-05 !   TPA_asm: Candidatus Omnitrophica bacterium isolate UBA10183 contig_25524, whole genome shotgun sequence
JACROO010000119.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    29457    29509      +    no    1 0.49   0.0   49.3   2.6e-05 !   Nitrospirae bacterium isolate NC_groundwater_1963_Pr3_S-0.2um_42_3 scaffold_471340, whole genome shotgun sequence
VGXW01000050.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49      900      852      -    no    1 0.82   1.9   49.3   2.6e-05 !   Planctomycetes bacterium isolate K_DeepCast_100m_mx_218 K_DeepCast_100m_mx_218_Ga0194127_10003594, whole genome shotgun sequence
NZ_FNIT01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   135539   135487      -    no    1 0.68   0.0   49.3   2.6e-05 !   Aureimonas jatrophae strain L7-484,KACC 16230,DSM 25025, whole genome shotgun sequence
DJWJ01000005.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    30134    30186      +    no    1 0.57   0.0   49.3   2.7e-05 !   TPA_asm: Candidatus Omnitrophica bacterium UBA6233 UBA6233_contig_37509, whole genome shotgun sequence
NZ_UWPJ01000031.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     2720     2668      -    no    1 0.66   0.0   49.2   2.8e-05 !   Pigmentiphaga humi isolate dnA1, whole genome shotgun sequence
NZ_CP027657.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   473468   473415      -    no    1 0.69   0.0   49.2   2.8e-05 !   Pseudomonas mendocina strain NEB698 chromosome, complete genome
JAFKGG010000065.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     1049      997      -    no    1 0.66   0.0   49.2   2.8e-05 !   Burkholderiales bacterium isolate SCN18_13_7_16_R4_B_66_10 SCN18_13_7_16_R4_B_scaffold_4443, whole genome shotgun sequence
JADJJE010000019.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    67342    67390      +    no    1 0.73   0.1   49.2   2.9e-05 !   Sandaracinaceae bacterium isolate Ejby_18-Q3-R6-50_BATAC.260 tig00005964-10-1856300, whole genome shotgun sequence
PLOH01000151.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    12091    12139      +    no    1 0.67   0.0   49.2   2.9e-05 !   Opitutae bacterium isolate fen_1464 73.20120800_E1D.18_contig_2415, whole genome shotgun sequence
NZ_QETA01000002.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   335981   336033      +    no    1 0.68   0.0   49.2   2.9e-05 !   Corticimicrobacter populi strain 3d-2-2 Scaffold2, whole genome shotgun sequence
JADJVL010000005.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   216592   216547      -    no    1 0.76   0.0   49.1   2.9e-05 !   Holophagaceae bacterium isolate Hjor_18-Q3-R7-51_BATAC.136 tig00003655-10-2923270, whole genome shotgun sequence
CAIUPP010000023.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   192049   192098      +    no    1 0.62   0.0   49.1   3.1e-05 !   uncultured planctomycete isolate AM-2014_bin-0320 genome assembly, contig: bin-0320:023/154, whole genome shotgun sequence
NZ_JABEQH010000006.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   162073   162125      +    no    1 0.77   0.7   49.1   3.1e-05 !   Gluconacetobacter johannae strain LMG 21312 contig00006, whole genome shotgun sequence
QLTU01000003.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    19348    19397      +    no    1 0.72   0.0   49.1   3.1e-05 !   UNVERIFIED_CONTAM: Acidovorax defluvii strain DSM 12644 Ga0215655_103, whole genome shotgun sequence
NZ_FNQJ01000013.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    20530    20579      +    no    1 0.72   0.0   49.1   3.1e-05 !   Acidovorax soli strain DSM 25157, whole genome shotgun sequence
JADFZK010000039.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    17704    17655      -    no    1 0.60   0.0   49.0   3.2e-05 !   Candidatus Omnitrophica bacterium isolate nHGRbin18 nHGR_bin18_NODE_926_length_20261_cov_15.884539, whole genome shotgun sequence
NZ_JACHZX010000001.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   978425   978476      +    no    1 0.77   0.3   49.0   3.2e-05 !   Sphingomonas sp. BK345 Ga0365278_01, whole genome shotgun sequence
JACRDO010000107.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     5109     5061      -    no    1 0.63   0.0   49.0   3.3e-05 !   Elusimicrobia bacterium isolate NC_groundwater_1674_Pr3_B-0.1um_65_18 SR-2_scaffold_141_1980976, whole genome shotgun sequence
NZ_LMEW01000010.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    44600    44549      -    no    1 0.67   0.0   49.0   3.3e-05 !   Massilia sp. Root133 contig_18, whole genome shotgun sequence
NZ_JPQD01000021.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    44335    44386      +    no    1 0.73   0.0   49.0   3.3e-05 !   Massilia sp. JS1662 GAT21, whole genome shotgun sequence
JAFJYB010000008.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    51019    51071      +    no    1 0.58   0.0   48.9   3.3e-05 !   Candidatus Symbiopectobacterium endolongispinus isolate SYM 10, whole genome shotgun sequence
NZ_PEHF01000081.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    36168    36116      -    no    1 0.58   0.0   48.9   3.3e-05 !   Candidatus Symbiopectobacterium sp. 'North America' n4_c_1.7, whole genome shotgun sequence
JACDAO010000558.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     8548     8503      -    no    1 0.65   0.0   48.9   3.3e-05 !   Acidobacteria bacterium isolate MGR_bin258 SD2897-2912_k127_4922519, whole genome shotgun sequence
NZ_FPIQ01000009.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    62005    61953      -    no    1 0.79   0.5   48.9   3.5e-05 !   Nitrosovibrio sp. Nv17, whole genome shotgun sequence
CAILUI010000351.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    53523    53473      -    no    1 0.71   0.0   48.9   3.5e-05 !   uncultured Victivallales bacterium isolate Loclat_bin-09902 genome assembly, contig: bin-09902:351/466, whole genome shotgun sequence
DSOP01000011.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49      463      512      +    no    1 0.80   0.5   48.8   3.7e-05 !   TPA_asm: Deltaproteobacteria bacterium isolate SpSt-343 Ga0073934_10000660, whole genome shotgun sequence
NZ_CP030048.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  4755637  4755588      -    no    1 0.66   0.0   48.8   3.8e-05 !   Bradyrhizobium sp. CCBAU 53338 chromosome, complete genome
JADKIY010000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   845556   845508      -    no    1 0.51   0.0   48.7   3.8e-05 !   Elusimicrobia bacterium isolate Skiv_18-Q3-R9-52_MAXAC.212 tig00000460-10-8469010, whole genome shotgun sequence
JADKKI010000006.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   376462   376418      -    no    1 0.73   0.0   48.7   3.9e-05 !   Myxococcales bacterium isolate Vibo_18-Q3-R45-57_MAXAC.190 tig00002740-10-4476520, whole genome shotgun sequence
JACQWT010000136.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     7146     7100      -    no    1 0.79   0.1   48.7   3.9e-05 !   Deltaproteobacteria bacterium isolate NC_groundwater_1496_Pr4_B-0.1um_72_3 SR1-18-B1_scaffold_115733, whole genome shotgun sequence
NZ_JAHUWT010000004.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   512184   512237      +    no    1 0.70   0.0   48.7   3.9e-05 !   Bordetella sp. BOR01 NODE_4_length_797646_cov_41.128183, whole genome shotgun sequence
CP054178.1           -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   533610   533562      -    no    1 0.76   0.0   48.7   3.9e-05 !   Phycisphaeraceae bacterium isolate H1_PLA4 chromosome, complete genome
JAHIKK010000002.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49      704      754      +    no    1 0.49   0.0   48.7     4e-05 !   MAG: Candidatus Omnitrophica bacterium isolate KR13_N1.mb.50 KR13_N1.mb.50_k141_3175, whole genome shotgun sequence
MHGF01000031.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    15973    15922      -    no    1 0.52   0.0   48.6   4.1e-05 !   Omnitrophica WOR_2 bacterium GWF2_43_52 gwf2_scaffold_4157, whole genome shotgun sequence
PHBK01000019.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    71692    71740      +    no    1 0.49   0.0   48.6   4.1e-05 !   Deltaproteobacteria bacterium HGW-Deltaproteobacteria-12 bjp_ig2069_scaffold_247, whole genome shotgun sequence
NZ_CP029211.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    33880    33829      -    no    1 0.65   0.0   48.6   4.1e-05 !   Aquabacterium olei strain NBRC 110486 plasmid pTB101, complete sequence
NZ_LUKZ01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   143548   143498      -    no    1 0.65   0.0   48.6   4.2e-05 !   Acidovorax sp. GW101-3H11 scaffold5/0, whole genome shotgun sequence
NZ_CP021361.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1225017  1224968      -    no    1 0.74   0.0   48.6   4.2e-05 !   Acidovorax carolinensis strain NA3 chromosome 1, complete sequence
NZ_FMZS01000006.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   250082   250031      -    no    1 0.75   0.0   48.5   4.3e-05 !   Massilia sp. PDC64, whole genome shotgun sequence
NZ_JAFCKB010000006.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   205998   206047      +    no    1 0.68   0.0   48.5   4.4e-05 !   Bradyrhizobium manausense strain SZCCT0344 NODE_6, whole genome shotgun sequence
NZ_JAANIH010000004.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   167628   167677      +    no    1 0.68   0.0   48.5   4.4e-05 !   Bradyrhizobium campsiandrae strain INPA 394B NODE_4_length_230651_cov_12.542642, whole genome shotgun sequence
NZ_CP041656.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  5564975  5565024      +    no    1 0.68   0.0   48.5   4.4e-05 !   Bradyrhizobium cosmicum strain 58S1 chromosome, complete genome
NZ_CP044543.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   664034   663985      -    no    1 0.68   0.0   48.5   4.4e-05 !   Bradyrhizobium betae strain PL7HG1 chromosome, complete genome
NZ_JAFMZZ010000001.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  3723064  3723011      -    no    1 0.74   0.0   48.5   4.4e-05 !   Bordetella petrii strain BMC_SI_3 Bordetella_petrii_BMC_SI_3_scaffold_1, whole genome shotgun sequence
NZ_BCWP01000018.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    44708    44662      -    no    1 0.64   0.0   48.5   4.5e-05 !   Curvibacter delicatus NBRC 14919, whole genome shotgun sequence
MWBI01000120.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     2706     2659      -    no    1 0.65   0.0   48.5   4.6e-05 !   Candidatus Omnitrophica bacterium ADurb.Bin314 BWY49_contig000120, whole genome shotgun sequence
MHGQ01000056.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     5625     5579      -    no    1 0.64   0.0   48.4   4.7e-05 !   Omnitrophica WOR_2 bacterium RIFCSPHIGHO2_02_FULL_50_17 rifcsphigho2_02_scaffold_4980, whole genome shotgun sequence
MGUA01000023.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    29343    29300      -    no    1 0.73   0.0   48.4   4.8e-05 !   Elusimicrobia bacterium GWB2_63_22 gwb2_scaffold_373, whole genome shotgun sequence
NZ_JAFCJT010000001.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   293822   293772      -    no    1 0.67   0.0   48.4   4.8e-05 !   Bradyrhizobium liaoningense strain SZCCT0399 NODE_1, whole genome shotgun sequence
NC_017249.1          -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  6180369  6180319      -    no    1 0.67   0.0   48.4   4.8e-05 !   Bradyrhizobium japonicum USDA 6, complete sequence
