#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_JACHOS010000005.1 -         nhaA-I               RF03057    cm        1       55   205852   205908      +    no    1 0.75   0.2   58.5   1.5e-06 !   Methylorubrum rhodesianum strain DSM 5687 Ga0373205_05, whole genome shotgun sequence
NZ_FNBI01000013.1    -         nhaA-I               RF03057    cm        1       55    18842    18897      +    no    1 0.61   0.0   52.7   3.9e-05 !   Sphingomonas carotinifaciens strain L9-754, whole genome shotgun sequence
NZ_JADWOX010000009.1 -         nhaA-I               RF03057    cm        1       55   152703   152755      +    no    1 0.64   0.0   52.7   3.9e-05 !   Caulobacter hibisci strain KACC 18849 9, whole genome shotgun sequence
NZ_WTFT01000041.1    -         nhaA-I               RF03057    cm        1       55    18122    18060      -    no    1 0.59   0.0   52.6     4e-05 !   Pseudomonas izuensis strain IzPS43_3003 3003-PS43-Suruga_S7_L001_R1_001_(paired)_contig_41, whole genome shotgun sequence
NC_010510.1          -         nhaA-I               RF03057    cm        1       55   298988   298933      -    no    1 0.75   0.4   52.6     4e-05 !   Methylobacterium radiotolerans JCM 2831 plasmid pMRAD01, complete sequence
NZ_CP060037.1        -         nhaA-I               RF03057    cm        1       55   374336   374280      -    no    1 0.70   0.0   52.6   4.1e-05 !   Sphingobium fuliginis strain KK22 plasmid p1, complete sequence
NZ_KQ130471.1        -         nhaA-I               RF03057    cm        1       55  2323359  2323415      +    no    1 0.70   0.0   52.6   4.1e-05 !   Sphingobium baderi LL03 25433_scaffold_01, whole genome shotgun sequence
NZ_ASTG01000028.1    -         nhaA-I               RF03057    cm        1       55    45838    45894      +    no    1 0.70   0.0   52.6   4.1e-05 !   Sphingobium bisphenolivorans strain YL23 contig028, whole genome shotgun sequence
NZ_JMKU01000045.1    -         nhaA-I               RF03057    cm        1       55    18466    18416      -    no    1 0.71   0.0   52.5   4.4e-05 !   Acidovorax oryzae ATCC 19882 T336DRAFT_scaffold00043.43_C, whole genome shotgun sequence
NZ_FKIF01000006.1    -         nhaA-I               RF03057    cm        1       55      491      545      +    no    1 0.69   0.0   52.4   4.6e-05 !   Bordetella ansorpii strain H050680373, whole genome shotgun sequence
NZ_VYQA01000018.1    -         nhaA-I               RF03057    cm        1       55    89969    90027      +    no    1 0.68   0.0   52.4   4.6e-05 !   Sphingobium limneticum strain KACC 19283 contig18, whole genome shotgun sequence
NZ_BCTY01000029.1    -         nhaA-I               RF03057    cm        1       55    34726    34784      +    no    1 0.68   0.0   52.4   4.6e-05 !   Sphingomonas sanguinis NBRC 13937, whole genome shotgun sequence
NZ_BMIH01000002.1    -         nhaA-I               RF03057    cm        1       55   882707   882649      -    no    1 0.68   0.0   52.4   4.6e-05 !   Sphingomonas metalli strain CGMCC 1.15330 sequence02, whole genome shotgun sequence
NZ_NWBQ01000095.1    -         nhaA-I               RF03057    cm        1       55     9440     9493      +    no    1 0.70   0.0   52.4   4.6e-05 !   Macromonas bipunctata strain DSM 12705 DSM12705_1_(paired)_trimmed_(paired)_contig_95, whole genome shotgun sequence
NZ_SSMQ01000081.1    -         nhaA-I               RF03057    cm        1       55    13289    13337      +    no    1 0.71   0.0   52.4   4.7e-05 !   Polyangium fumosum strain DSM 14668 Scaffold80_1, whole genome shotgun sequence
NZ_CP029211.1        -         nhaA-I               RF03057    cm        1       55    33883    33829      -    no    1 0.67   0.0   52.3   4.7e-05 !   Aquabacterium olei strain NBRC 110486 plasmid pTB101, complete sequence
NZ_JAHBRY010000001.1 -         nhaA-I               RF03057    cm        1       55  1384891  1384837      -    no    1 0.73   0.2   52.3   4.9e-05 !   Chelatococcus asaccharovorans strain DSM 6462 DSM_6462_1, whole genome shotgun sequence
NZ_SSOD01000020.1    -         nhaA-I               RF03057    cm        1       55    82175    82232      +    no    1 0.78   1.7   52.2     5e-05 !   Azoarcus rhizosphaerae strain CC-YHH848 contig20, whole genome shotgun sequence
NZ_RQXU01000019.1    -         nhaA-I               RF03057    cm        1       55    29860    29924      +    no    1 0.71   0.4   52.2     5e-05 !   Variovorax beijingensis strain T529 19, whole genome shotgun sequence
NZ_KB894768.1        -         nhaA-I               RF03057    cm        1       55    21487    21545      +    no    1 0.66   0.0   52.1   5.3e-05 !   Brachymonas chironomi DSM 19884 C513DRAFT_scaffold00004.4, whole genome shotgun sequence
NZ_CP022203.1        -         nhaA-I               RF03057    cm        1       55  7297329  7297376      +    no    1 0.75   0.0   52.1   5.5e-05 !   Corallococcus macrosporus DSM 14697 chromosome, complete genome
NZ_JACOFU010000001.1 -         nhaA-I               RF03057    cm        1       55   823369   823420      +    no    1 0.60   0.0   52.0   5.7e-05 !   Undibacterium amnicola strain KCTC 52442 1, whole genome shotgun sequence
NZ_CP012400.2        -         nhaA-I               RF03057    cm        1       55  2037089  2037027      -    no    1 0.60   0.0   52.0   5.8e-05 !   Pseudomonas yamanorum strain LBUM636 chromosome, complete genome
NZ_JH725021.1        -         nhaA-I               RF03057    cm        1       55  1122903  1122957      +    no    1 0.53   0.0   52.0   5.8e-05 !   Bartonella tamiae Th307 supercont1.1, whole genome shotgun sequence
NZ_BCUT01000001.1    -         nhaA-I               RF03057    cm        1       55  1630203  1630139      -    no    1 0.72   0.6   52.0   5.8e-05 !   Variovorax paradoxus NBRC 15149, whole genome shotgun sequence
NZ_BPQS01000023.1    -         nhaA-I               RF03057    cm        1       55    44227    44170      -    no    1 0.78   2.1   51.9   5.9e-05 !   Methylobacterium longum strain DSM 23933 entry23, whole genome shotgun sequence
NZ_CABFPH010000042.1 -         nhaA-I               RF03057    cm        1       55     8307     8361      +    no    1 0.76   2.6   51.9   5.9e-05 !   Methylobacterium symbioticum strain SB0023/3, whole genome shotgun sequence
NZ_SGWZ01000001.1    -         nhaA-I               RF03057    cm        1       55   558113   558168      +    no    1 0.68   0.0   51.9     6e-05 !   Kerstersia gyiorum strain DSM 16618 Ga0310503_11, whole genome shotgun sequence
NZ_JACJIM010000005.1 -         nhaA-I               RF03057    cm        1       55   588886   588830      -    no    1 0.68   0.0   51.9     6e-05 !   Methylobacterium fujisawaense strain DSM 5686 Ga0373204_05, whole genome shotgun sequence
NZ_CP015367.1        -         nhaA-I               RF03057    cm        1       55  5759252  5759196      -    no    1 0.68   0.0   51.9     6e-05 !   Methylobacterium phyllosphaerae strain CBMB27 chromosome, complete genome
NZ_CP003811.1        -         nhaA-I               RF03057    cm        1       55   393151   393095      -    no    1 0.68   0.0   51.9     6e-05 !   Methylobacterium oryzae CBMB20 chromosome, complete genome
NZ_BBPI01000066.1    -         nhaA-I               RF03057    cm        1       55    10593    10648      +    no    1 0.66   0.0   51.9   6.1e-05 !   Sphingomonas parapaucimobilis NBRC 15100 BBPI01000066, whole genome shotgun sequence
NZ_BPQZ01000040.1    -         nhaA-I               RF03057    cm        1       55    20921    20976      +    no    1 0.75   0.2   51.6   6.9e-05 !   Methylobacterium tardum strain NBRC 103632 entry40, whole genome shotgun sequence
NZ_NETK01000001.1    -         nhaA-I               RF03057    cm        1       55  6613454  6613504      +    no    1 0.69   0.0   51.6   7.2e-05 !   Nannocystis exedens strain DSM 71 utg0, whole genome shotgun sequence
NZ_FNZZ01000002.1    -         nhaA-I               RF03057    cm        1       55    73500    73446      -    no    1 0.75   0.1   51.5   7.5e-05 !   Sphingomonas palmae strain JS21-1, whole genome shotgun sequence
NZ_JACHNX010000004.1 -         nhaA-I               RF03057    cm        1       55   127746   127694      -    no    1 0.66   0.0   51.5   7.6e-05 !   Sphingomonas yabuuchiae strain DSM 14562 Ga0373313_04, whole genome shotgun sequence
NZ_JAEDAK010000027.1 -         nhaA-I               RF03057    cm        1       55     7748     7802      +    no    1 0.75   0.1   51.5   7.6e-05 !   Inhella proteolytica strain 1Y17 NODE_27_length_29677_cov_69.873976, whole genome shotgun sequence
NZ_RDQO01000001.1    -         nhaA-I               RF03057    cm        1       55   790619   790675      +    no    1 0.65   0.0   51.5   7.6e-05 !   Corticibacter populi strain DSM 105136 DSM105136T_1, whole genome shotgun sequence
NZ_JACTVA010000001.1 -         nhaA-I               RF03057    cm        1       55   101635   101689      +    no    1 0.67   0.0   51.4   7.9e-05 !   Roseomonas aerophila strain NBRC 108923 Scaffold1, whole genome shotgun sequence
NZ_BQHI01000006.1    -         nhaA-I               RF03057    cm        1       55   286633   286571      -    no    1 0.63   0.0   51.4   7.9e-05 !   Pseudomonas sputi strain BML-PP014 sequence006, whole genome shotgun sequence
NZ_JACOFU010000009.1 -         nhaA-I               RF03057    cm        1       55   120184   120236      +    no    1 0.66   0.0   51.4   8.1e-05 !   Undibacterium amnicola strain KCTC 52442 9, whole genome shotgun sequence
NZ_SSOC01000007.1    -         nhaA-I               RF03057    cm        1       55   192273   192330      +    no    1 0.71   0.1   51.4   8.1e-05 !   Azoarcus nasutitermitis strain CC-YHH838 contig07, whole genome shotgun sequence
NZ_NEGF01000014.1    -         nhaA-I               RF03057    cm        1       55    73976    74027      +    no    1 0.52   0.0   51.4   8.1e-05 !   Acinetobacter terrae strain ANC 4655 Contig14, whole genome shotgun sequence
NZ_VIFM01000190.1    -         nhaA-I               RF03057    cm        1       55     3435     3483      +    no    1 0.71   0.0   51.3   8.2e-05 !   Myxococcus llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogochensis strain AM401 NODE_190_length_22706_cov_45.0853, whole genome shotgun sequence
NZ_CP024645.1        -         nhaA-I               RF03057    cm        1       55  4661917  4661862      -    no    1 0.70   0.0   51.3   8.4e-05 !   Rhizobacter gummiphilus strain NBRC 109400 chromosome, complete genome
NZ_NQVN01000004.1    -         nhaA-I               RF03057    cm        1       55    18718    18663      -    no    1 0.73   0.7   51.2   8.7e-05 !   Pleomorphomonas carboxyditropha strain SVCO-16 NODE_4_length_277903_cov_23.0678, whole genome shotgun sequence
NZ_MDDS01000010.1    -         nhaA-I               RF03057    cm        1       55    33090    33141      +    no    1 0.75   0.1   51.2   9.1e-05 !   Sphingomonas turrisvirgatae strain MCT13 MCT13_NODE_17_length_79247_cov_33.7165_ID_1857, whole genome shotgun sequence
NZ_VJWE01000015.1    -         nhaA-I               RF03057    cm        1       55   245339   245392      +    no    1 0.76   0.7   51.2   9.1e-05 !   Acidovorax delafieldii strain DSM 64 Ga0064100_105, whole genome shotgun sequence
NZ_JACHNY010000002.1 -         nhaA-I               RF03057    cm        1       55   327794   327847      +    no    1 0.76   0.5   51.1   9.4e-05 !   Sphingomonas abaci strain DSM 15867 Ga0373314_02, whole genome shotgun sequence
NZ_CP071767.1        -         nhaA-I               RF03057    cm        1       55    96348    96298      -    no    1 0.49   0.0   51.0   9.7e-05 !   Acinetobacter towneri strain GX3 plasmid pGX3-1, complete sequence
NZ_RAXV01000058.1    -         nhaA-I               RF03057    cm        1       55     1365     1415      +    no    1 0.49   0.0   51.0   9.7e-05 !   Acinetobacter tianfuensis strain WCHAc060012 58, whole genome shotgun sequence
NZ_CABVGP010000006.1 -         nhaA-I               RF03057    cm        1       55     9674     9624      -    no    1 0.49   0.0   51.0   9.7e-05 !   Amycolatopsis camponoti strain A23, whole genome shotgun sequence
NZ_CABVGP010000006.1 -         nhaA-I               RF03057    cm        1       55    20988    20938      -    no    1 0.49   0.0   51.0   9.7e-05 !   Amycolatopsis camponoti strain A23, whole genome shotgun sequence
NZ_CP059467.1        -         nhaA-I               RF03057    cm        1       55  3911639  3911691      +    no    1 0.66   0.0   51.0   9.9e-05 !   Aromatoleum bremense strain PbN1 chromosome, complete genome
NZ_WTVG02000039.1    -         nhaA-I               RF03057    cm        1       55   212586   212534      -    no    1 0.66   0.0   51.0   9.9e-05 !   Aromatoleum anaerobium strain LuFRes1 2, whole genome shotgun sequence
NZ_MBPN01000039.1    -         nhaA-I               RF03057    cm        1       55     1188     1126      -    no    1 0.60   0.0   51.0    0.0001 !   Pseudomonas defluvii strain WCHP16 NODE_40_length_43076_cov_42.2435, whole genome shotgun sequence
NZ_LT855380.1        -         nhaA-I               RF03057    cm        1       55  5112988  5113050      +    no    1 0.62   0.0   50.9   0.00011 !   Pseudomonas viridiflava strain CFBP 1590 isolate E12-5 chromosome I, complete sequence
NZ_JQKD01000012.1    -         nhaA-I               RF03057    cm        1       55   107063   107008      -    no    1 0.75   0.1   50.9   0.00011 !   Xenophilus azovorans DSM 13620 Q392DRAFT_scaffold00010.10_C, whole genome shotgun sequence
NZ_JWJG01000028.1    -         nhaA-I               RF03057    cm        1       55  2376811  2376862      +    no    1 0.63   0.0   50.9   0.00011 !   Noviherbaspirillum autotrophicum strain TSA66 contig01, whole genome shotgun sequence
NZ_BMZP01000001.1    -         nhaA-I               RF03057    cm        1       55   432738   432679      -    no    1 0.75   0.6   50.9   0.00011 !   Novosphingobium pokkalii strain KCTC 42224 sequence01, whole genome shotgun sequence
NZ_LSTO01000001.1    -         nhaA-I               RF03057    cm        1       55  1828797  1828746      -    no    1 0.69   0.0   50.8   0.00011 !   Noviherbaspirillum denitrificans strain TSA40 Contig01, whole genome shotgun sequence
NC_011916.1          -         nhaA-I               RF03057    cm        1       55   471475   471527      +    no    1 0.64   0.0   50.8   0.00011 !   Caulobacter crescentus NA1000, complete genome
NZ_JAAVJH010000008.1 -         nhaA-I               RF03057    cm        1       55     5357     5411      +    no    1 0.67   0.0   50.8   0.00011 !   Sphingomonas corticis strain 36D10-4-7 Scaffold8, whole genome shotgun sequence
NZ_NESN01000001.1    -         nhaA-I               RF03057    cm        1       55   244944   244998      +    no    1 0.62   0.0   50.7   0.00011 !   Limnohabitans parvus II-B4 LimC-II-B4-C1, whole genome shotgun sequence
NZ_CVJQ01000001.1    -         nhaA-I               RF03057    cm        1       55  2168180  2168128      -    no    1 0.72   0.0   50.7   0.00011 !   Phenylobacterium immobile (ATCC 35973) strain (strain E), whole genome shotgun sequence
NZ_BCYV01000039.1    -         nhaA-I               RF03057    cm        1       55    15328    15269      -    no    1 0.73   0.2   50.7   0.00012 !   Novosphingobium capsulatum NBRC 12533, whole genome shotgun sequence
NZ_SMLM01000003.1    -         nhaA-I               RF03057    cm        1       55   249203   249153      -    no    1 0.76   0.1   50.7   0.00012 !   Ramlibacter henchirensis strain DSM 14656 NODE_3_length_703460_cov_55.421317, whole genome shotgun sequence
NZ_JACTUZ010000016.1 -         nhaA-I               RF03057    cm        1       55    11374    11430      +    no    1 0.75   1.0   50.7   0.00012 !   Roseomonas ludipueritiae strain DSM 14915 Scaffold16, whole genome shotgun sequence
NZ_BPMK01000004.1    -         nhaA-I               RF03057    cm        1       55   125299   125350      +    no    1 0.62   0.0   50.6   0.00012 !   Noviherbaspirillum aridicola strain NCCP-691 sequence04, whole genome shotgun sequence
NZ_WTVH02000010.1    -         nhaA-I               RF03057    cm        1       55  1449112  1449164      +    no    1 0.66   0.0   50.6   0.00012 !   Aromatoleum buckelii strain U120 1, whole genome shotgun sequence
NZ_SLZQ01000005.1    -         nhaA-I               RF03057    cm        1       55   207231   207180      -    no    1 0.60   0.0   50.6   0.00013 !   Paucimonas lemoignei strain DSM 7445 Ga0244659_105, whole genome shotgun sequence
NZ_CP013002.1        -         nhaA-I               RF03057    cm        1       55  1505306  1505359      +    no    1 0.67   0.1   50.5   0.00013 !   Caulobacter henricii strain CB4 chromosome, complete genome
NZ_QFFU01000005.1    -         nhaA-I               RF03057    cm        1       55    31418    31479      +    no    1 0.71   0.0   50.5   0.00013 !   Pseudomonas ovata strain F51 Scaffold5, whole genome shotgun sequence
NZ_JAEKDB010000002.1 -         nhaA-I               RF03057    cm        1       55    15467    15529      +    no    1 0.60   0.0   50.5   0.00013 !   Pseudomonas haemolytica strain MF5694 MF5694_contig_2, whole genome shotgun sequence
NZ_CP011125.1        -         nhaA-I               RF03057    cm        1       55  6712784  6712733      -    no    1 0.77   0.3   50.5   0.00013 !   Sandaracinus amylolyticus strain DSM 53668 chromosome, complete genome
