#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_SEIL01000087.1    -         nhaA-I               RF03057    cm        1       55      289      239      -    no    1 0.49   0.0   51.0   8.5e-07 !   Acinetobacter lwoffii strain AL_065 NODE_83_length_12254_cov_23.0646, whole genome shotgun sequence
NZ_VKUD01001067.1    -         nhaA-I               RF03057    cm        1       55      160      209      +    no    1 0.70   0.0   19.0        47 ?   Klebsiella aerogenes strain AS012424 AS012424_1068, whole genome shotgun sequence
NZ_JYOF01000014.1    -         nhaA-I               RF03057    cm        1       55   113056   112991      -    no    1 0.68   0.0   18.8        53 ?   Pseudomonas sp. 2(2015) contig14, whole genome shotgun sequence
NZ_BIMO01000001.1    -         nhaA-I               RF03057    cm        1       55   378755   378706      -    no    1 0.72   0.0   18.8        55 ?   Stenotrophomonas pavanii strain Y contig1, whole genome shotgun sequence
NZ_JTCJ01000057.1    -         nhaA-I               RF03057    cm        1       55     8923     8973      +    no    1 0.57   0.0   18.7        58 ?   Pseudomonas putida strain SQ1 Contig_34_PpSQ1, whole genome shotgun sequence
NZ_CAKZ01000080.1    -         nhaA-I               RF03057    cm        1       55    57509    57563      +    no    1 0.60   0.0   18.6        59 ?   Cronobacter dublinensis 1210, whole genome shotgun sequence
NZ_VUOQ01000086.1    -         nhaA-I               RF03057    cm        1       55      182      230      +    no    1 0.61   0.0   18.6        61 ?   Streptococcus pneumoniae strain VB001 NODE_86_length_313_cov_3.24766_ID_171, whole genome shotgun sequence
NZ_LUSZ01000001.1    -         nhaA-I               RF03057    cm        1       55   177893   177936      +    no    1 0.64   0.0   18.6        62 ?   Lonsdalea populi strain CFCC 11263 contig00001, whole genome shotgun sequence
NZ_LUSX01000002.1    -         nhaA-I               RF03057    cm        1       55   133445   133488      +    no    1 0.64   0.0   18.6        62 ?   Lonsdalea populi strain CFCC 11265 contig00002, whole genome shotgun sequence
NZ_JAOA01000015.1    -         nhaA-I               RF03057    cm       36       55    25733    25754      +    no    1 0.77   0.0   18.4        65 ?   Mycobacterium kansasii 662 gmk662.contig.14, whole genome shotgun sequence
NZ_JAOA01000027.1    -         nhaA-I               RF03057    cm       36       55     6932     6911      -    no    1 0.77   0.0   18.4        65 ?   Mycobacterium kansasii 662 gmk662.contig.26, whole genome shotgun sequence
NZ_JAFFPQ010000001.1 -         nhaA-I               RF03057    cm        1       55  2039311  2039420      +    no    1 0.74   3.6   18.4        67 ?   Flagellatimonas centrodinii strain R2A-3 contig1, whole genome shotgun sequence
NZ_JYOF01000072.1    -         nhaA-I               RF03057    cm        1       55       20       70      +    no    1 0.65   0.0   18.3        69 ?   Pseudomonas sp. 2(2015) contig99, whole genome shotgun sequence
NZ_VKDK01000003.1    -         nhaA-I               RF03057    cm        1       55   154855   154911      +    no    1 0.67   0.0   18.3        71 ?   Corynebacterium aurimucosum strain 2274 NODE_3_length_230257_cov_256.703, whole genome shotgun sequence
NZ_LAYQ01000009.1    -         nhaA-I               RF03057    cm        1       55    50005    50061      +    no    1 0.67   0.0   18.3        71 ?   Corynebacterium minutissimum strain 1941 Contig_9, whole genome shotgun sequence
NZ_MRVD01000059.1    -         nhaA-I               RF03057    cm       35       55    21677    21657      -    no    1 0.90   0.1   18.3        73 ?   Ensifer adhaerens strain X097 Scaffold87, whole genome shotgun sequence
NZ_JTCJ01000625.1    -         nhaA-I               RF03057    cm        1       55     2214     2168      -    no    1 0.68   0.0   18.2        75 ?   Pseudomonas putida strain SQ1 Contig_697_PpSQ1, whole genome shotgun sequence
NZ_JAAGLY010000217.1 -         nhaA-I               RF03057    cm        1       55      462      388      -    no    1 0.69   0.0   18.2        77 ?   Streptomyces sp. SID13726 NODE_217_length_558_cov_0.75174_ID_433/0, whole genome shotgun sequence
NZ_VLFQ01000615.1    -         nhaA-I               RF03057    cm       28       55       19       46      +    no    2 0.86   0.1   18.1        79 ?   Stenotrophomonas maltophilia strain AS012722 AS012722_622, whole genome shotgun sequence
NZ_MCWV02000001.1    -         nhaA-I               RF03057    cm        1       55  2094075  2094030      -    no    1 0.67   0.0   18.1        81 ?   Vibrio lentus strain 10N.261.55.C8 10N26155C8_0, whole genome shotgun sequence
NZ_VJYJ02001484.1    -         nhaA-I               RF03057    cm        1       55      325      379      +    no    1 0.78   0.4   18.0        84 ?   Streptomyces alkaliphilus strain IF17 NODE_1484, whole genome shotgun sequence
NZ_ACEQ02000008.1    -         nhaA-I               RF03057    cm        1       55    42964    42906      -    no    1 0.68   0.0   18.0        86 ?   Neisseria lactamica ATCC 23970 N_lactamica-1.0.2_Cont7.1, whole genome shotgun sequence
NZ_CABEFZ010000086.1 -         nhaA-I               RF03057    cm       37       54    89985    89968      -    no    1 0.89   0.0   17.9        90 ?   Desulfosarcina cetonica strain xyz, whole genome shotgun sequence
NZ_MUMG01000694.1    -         nhaA-I               RF03057    cm        1       55      485      436      -    no    1 0.72   0.0   17.8        92 ?   Crossiella equi strain NRRL B-24104 NRRL_B-24104)_contig_717, whole genome shotgun sequence
NZ_JYOF01000001.1    -         nhaA-I               RF03057    cm        1       55   159098   159143      +    no    1 0.57   0.0   17.8        92 ?   Pseudomonas sp. 2(2015) contig1, whole genome shotgun sequence
NZ_LHMF01000007.1    -         nhaA-I               RF03057    cm        1       55    76216    76164      -    no    1 0.62   0.0   17.8        93 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N51240 N51240_contig_7, whole genome shotgun sequence
NZ_LHNW01000011.1    -         nhaA-I               RF03057    cm        1       55   101584   101532      -    no    1 0.62   0.0   17.8        93 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N51287 N51287_contig_11, whole genome shotgun sequence
NZ_LHLF01000008.1    -         nhaA-I               RF03057    cm        1       55   176803   176855      +    no    1 0.62   0.0   17.8        93 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N50420 N50420_contig_8, whole genome shotgun sequence
NZ_LHMA01000018.1    -         nhaA-I               RF03057    cm        1       55   176803   176855      +    no    1 0.62   0.0   17.8        93 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N50445 N50445_contig_18, whole genome shotgun sequence
NZ_BIMO01000004.1    -         nhaA-I               RF03057    cm        1       55   153122   153176      +    no    1 0.73   0.0   17.8        94 ?   Stenotrophomonas pavanii strain Y contig4, whole genome shotgun sequence
#
# Program:         cmsearch
# Version:         1.1.3 (Nov 2019)
# Pipeline mode:   SEARCH
# Query file:      sto/nhaA-I/RF03057.sto.cm
# Target file:     /Users/julian/bioinfo/db/bacteria/bacteria.1.1.genomic.fna.gz
# Option settings: cmsearch -o searches/bacteria-nhaA-I-2/bacteria-nhaA-I-2.out -A searches/bacteria-nhaA-I-2/bacteria-nhaA-I-2.out.sto --tblout searches/bacteria-nhaA-I-2/bacteria-nhaA-I-2.out.tbl -E 100.0 --incE 0.01 sto/nhaA-I/RF03057.sto.cm /Users/julian/bioinfo/db/bacteria/bacteria.1.1.genomic.fna.gz 
# Current dir:     /Users/julian/Desktop/breaker
# Date:            Thu Feb  2 14:58:46 2023
# [ok]
