#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_MZGT01000054.1    -         Sodium               RF03071    cm        1       55     4934     4990      +    no    1 0.37   0.0   66.8     1e-08 !   Clostridium chromiireducens strain DSM 23318 CLCHR_contig000054, whole genome shotgun sequence
NZ_JAHLDL010000005.1 -         Sodium               RF03071    cm        1       55   146280   146333      +    no    1 0.39   0.0   55.0     1e-05 !   Clostridium bowmanii strain DSM 14206 contig00005, whole genome shotgun sequence
NZ_BHYK01000008.1    -         Sodium               RF03071    cm        1       55   176619   176672      +    no    1 0.39   0.0   55.0     1e-05 !   Clostridium tagluense strain A121 sequence008, whole genome shotgun sequence
NZ_APMH01000004.1    -         Sodium               RF03071    cm        1       55   155339   155281      -    no    1 0.37   0.0   54.8   1.1e-05 !   Clostridium tyrobutyricum DSM 2637 = ATCC 25755 = JCM 11008 strain ATCC 25755 contig4, whole genome shotgun sequence
NZ_QPJT01000005.1    -         Sodium               RF03071    cm        1       55   214951   214896      -    no    1 0.48   0.0   54.8   1.1e-05 !   Anaerobacterium chartisolvens strain DSM 27016 Ga0244570_105, whole genome shotgun sequence
NZ_KK211291.1        -         Sodium               RF03071    cm        1       55   208030   207974      -    no    1 0.46   0.0   54.8   1.2e-05 !   Ruminiclostridium cellobioparum DSM 1351 = ATCC 15832 T344DRAFT_scaffold00008.8, whole genome shotgun sequence
NZ_GG670121.1        -         Sodium               RF03071    cm        1       55   531921   531873      -    no    1 0.33   0.0   54.6   1.3e-05 !   Lactobacillus johnsonii ATCC 33200 SCAFFOLD2, whole genome shotgun sequence
NZ_LSRN01000100.1    -         Sodium               RF03071    cm        1       55    57003    56957      -    no    1 0.45   0.0   54.5   1.4e-05 !   Alkalibacterium sp. 20 contig9, whole genome shotgun sequence
NZ_CAKE01000022.1    -         Sodium               RF03071    cm        1       55   129392   129342      -    no    1 0.31   0.0   54.2   1.6e-05 !   Lactobacillus hominis DSM 23910 = CRBIP 24.179 strain type strain:CRBIP 24.179, whole genome shotgun sequence
SAAS01000004.1       -         Sodium               RF03071    cm        1       55    32770    32820      +    no    1 0.51   0.0   54.2   1.6e-05 !   Clostridia bacterium isolate INTA.CYC.057 contig-100_10, whole genome shotgun sequence
NZ_FQXV01000001.1    -         Sodium               RF03071    cm        1       55   661770   661720      -    no    1 0.63   0.0   54.1   1.7e-05 !   Sporobacter termitidis DSM 10068, whole genome shotgun sequence
NZ_MZGX01000009.1    -         Sodium               RF03071    cm        1       55   123107   123160      +    no    1 0.46   0.0   53.9     2e-05 !   Ruminiclostridium hungatei strain DSM 14427 CLHUN_contig000009, whole genome shotgun sequence
NZ_MSQD01000017.1    -         Sodium               RF03071    cm        1       55    11661    11709      +    no    1 0.45   0.0   53.8   2.1e-05 !   Thermoanaerobacterium sp. PSU-2 contig00017, whole genome shotgun sequence
NZ_BALY01000023.1    -         Sodium               RF03071    cm        1       55    11803    11744      -    no    1 0.35   0.0   53.7   2.1e-05 !   Lactobacillus hamsteri DSM 5661 = JCM 6256, whole genome shotgun sequence
NC_014828.1          -         Sodium               RF03071    cm        1       55  2422764  2422714      -    no    1 0.55   0.0   53.7   2.2e-05 !   Ethanoligenens harbinense YUAN-3, complete sequence
NZ_CP072197.1        -         Sodium               RF03071    cm        1       55  2171355  2171411      +    no    1 0.39   0.0   53.7   2.2e-05 !   Lactobacillus crispatus strain ATCC 33820 chromosome, complete genome
NZ_JAENHN010000032.1 -         Sodium               RF03071    cm        1       55    35954    36013      +    no    1 0.37   0.0   53.6   2.3e-05 !   Clostridium sp. YIM B02505 GCM70020050_32, whole genome shotgun sequence
NZ_AZEL01000056.1    -         Sodium               RF03071    cm        1       55    48905    48961      +    no    1 0.39   0.0   53.6   2.3e-05 !   Lactobacillus gallinarum DSM 10532 = JCM 2011 strain DSM 10532 NODE_94, whole genome shotgun sequence
NZ_CAKD01000014.1    -         Sodium               RF03071    cm        1       55    15101    15158      +    no    1 0.40   0.0   53.6   2.3e-05 !   Lactobacillus pasteurii DSM 23907 = CRBIP 24.76 strain type strain:CRBIP 24.76, whole genome shotgun sequence
DBTI01000094.1       -         Sodium               RF03071    cm        1       55    31308    31258      -    no    1 0.55   0.0   53.6   2.3e-05 !   MAG TPA_asm: Ruminococcaceae bacterium UBA1320 UBA1320_contig_35219, whole genome shotgun sequence
NZ_AZFO01000025.1    -         Sodium               RF03071    cm        1       55     6168     6113      -    no    1 0.34   0.0   53.5   2.4e-05 !   Lactobacillus ultunensis DSM 16047 Scaffold25, whole genome shotgun sequence
NZ_JAHLDV010000039.1 -         Sodium               RF03071    cm        1       55    10879    10826      -    no    1 0.39   0.0   53.5   2.4e-05 !   Clostridium frigoris strain DSM 14204 contig00039, whole genome shotgun sequence
