#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
JAAYCJ010000321.1    -         nhaA-I               RF03057    cm        1       55     2831     2779      -    no    1 0.75   0.1   62.7   4.5e-07 !   Phycisphaerae bacterium isolate AS06rmzACSIP_418 543678_AS06, whole genome shotgun sequence
JAHIKK010000002.1    -         nhaA-I               RF03057    cm        1       55      701      755      +    no    1 0.51   0.0   57.1     1e-05 !   MAG: Candidatus Omnitrophica bacterium isolate KR13_N1.mb.50 KR13_N1.mb.50_k141_3175, whole genome shotgun sequence
MWBI01000120.1       -         nhaA-I               RF03057    cm        1       55     2709     2658      -    no    1 0.65   0.0   57.0   1.1e-05 !   Candidatus Omnitrophica bacterium ADurb.Bin314 BWY49_contig000120, whole genome shotgun sequence
CP054178.1           -         nhaA-I               RF03057    cm        1       55   533613   533561      -    no    1 0.77   0.1   56.9   1.2e-05 !   Phycisphaeraceae bacterium isolate H1_PLA4 chromosome, complete genome
NC_009937.1          -         nhaA-I               RF03057    cm        1       55  1486639  1486584      -    no    1 0.70   0.0   56.9   1.2e-05 !   Azorhizobium caulinodans ORS 571, complete sequence
JACROO010000119.1    -         nhaA-I               RF03057    cm        1       55    29454    29510      +    no    1 0.51   0.0   56.8   1.2e-05 !   Nitrospirae bacterium isolate NC_groundwater_1963_Pr3_S-0.2um_42_3 scaffold_471340, whole genome shotgun sequence
QFNF01000040.1       -         nhaA-I               RF03057    cm        1       55     4129     4184      +    no    1 0.79   1.5   56.6   1.4e-05 !   Sphingomonas hengshuiensis isolate S2_018_000_R3_110 S2_018_000_R3_scaffold_509, whole genome shotgun sequence
NZ_SMZP01000008.1    -         nhaA-I               RF03057    cm        1       55   100573   100626      +    no    1 0.65   0.0   56.6   1.4e-05 !   Caulobacter sp. RHG1 Contig8, whole genome shotgun sequence
DUPH01000338.1       -         nhaA-I               RF03057    cm        1       55    12308    12363      +    no    1 0.70   0.0   56.6   1.4e-05 !   TPA_asm: Lentisphaerae bacterium isolate AS08sgBPME_287 244745_AS08, whole genome shotgun sequence
NZ_LARW01000054.1    -         nhaA-I               RF03057    cm        1       55    40368    40424      +    no    1 0.67   0.0   56.6   1.4e-05 !   Sphingomonas sp. SRS2 contig54, whole genome shotgun sequence
JACDAO010000558.1    -         nhaA-I               RF03057    cm        1       55     8551     8502      -    no    1 0.66   0.0   56.5   1.4e-05 !   Acidobacteria bacterium isolate MGR_bin258 SD2897-2912_k127_4922519, whole genome shotgun sequence
NZ_NRRU01000129.1    -         nhaA-I               RF03057    cm        1       55     3068     3125      +    no    1 0.74   0.1   56.5   1.4e-05 !   Rubrivivax gelatinosus strain IM 151 scaffold0129, whole genome shotgun sequence
NZ_JABXEO010000058.1 -         nhaA-I               RF03057    cm        1       55    18178    18226      +    no    1 0.71   0.0   56.4   1.5e-05 !   Myxococcus sp. AM010 NODE_58_length_56286_cov_56.366_ID_5900, whole genome shotgun sequence
NZ_JABULH010000002.1 -         nhaA-I               RF03057    cm        1       55    39803    39857      +    no    1 0.75   0.1   56.4   1.5e-05 !   Sphingomonas hominis strain HHU CXW Contig002_676735, whole genome shotgun sequence
NZ_BCWP01000018.1    -         nhaA-I               RF03057    cm        1       55    44711    44662      -    no    1 0.66   0.0   56.4   1.5e-05 !   Curvibacter delicatus NBRC 14919, whole genome shotgun sequence
NZ_CP017174.1        -         nhaA-I               RF03057    cm        1       55  7564805  7564853      +    no    1 0.71   0.0   56.3   1.6e-05 !   Myxococcus xanthus strain MC3.5.9c15 chromosome, complete genome
NZ_JAAEAH010000078.1 -         nhaA-I               RF03057    cm        1       55      346      394      +    no    1 0.71   0.0   56.3   1.6e-05 !   Myxococcus sp. CA023 NODE_78_length_43198_cov_65.0953, whole genome shotgun sequence
NZ_JABFNS010000090.1 -         nhaA-I               RF03057    cm        1       55     2125     2173      +    no    1 0.71   0.0   56.3   1.6e-05 !   Myxococcus xanthus strain AM003 NODE_90_length_38248_cov_41.0572, whole genome shotgun sequence
NZ_FNAJ01000010.1    -         nhaA-I               RF03057    cm        1       55    80487    80439      -    no    1 0.71   0.0   56.3   1.6e-05 !   Myxococcus virescens strain DSM 2260, whole genome shotgun sequence
NZ_FNOH01000014.1    -         nhaA-I               RF03057    cm        1       55   180487   180535      +    no    1 0.71   0.0   56.3   1.6e-05 !   Myxococcus xanthus strain DSM 16526, whole genome shotgun sequence
NC_008825.1          -         nhaA-I               RF03057    cm        1       55   404714   404769      +    no    1 0.75   0.1   56.2   1.7e-05 !   Methylibium petroleiphilum PM1, complete sequence
NZ_FNIT01000001.1    -         nhaA-I               RF03057    cm        1       55   135542   135486      -    no    1 0.70   0.1   56.1   1.8e-05 !   Aureimonas jatrophae strain L7-484,KACC 16230,DSM 25025, whole genome shotgun sequence
NZ_JACIVI010000001.1 -         nhaA-I               RF03057    cm        1       55    26743    26795      +    no    1 0.75   0.1   56.1   1.8e-05 !   Piscinibacter sp. SJAQ100 contig1, whole genome shotgun sequence
NZ_QQNB01000004.1    -         nhaA-I               RF03057    cm        1       55    39490    39438      -    no    1 0.70   0.0   56.1   1.8e-05 !   Sphingomonas sp. WZY 27 NODE_4_length_144644_cov_41.700333, whole genome shotgun sequence
NZ_LMKV01000001.1    -         nhaA-I               RF03057    cm        1       55    47195    47140      -    no    1 0.70   0.0   56.1   1.8e-05 !   Sphingobium sp. Leaf26 contig_1, whole genome shotgun sequence
SCUT01000009.1       -         nhaA-I               RF03057    cm        1       55    57322    57270      -    no    1 0.75   0.1   56.0   1.9e-05 !   MAG: Reyranella sp. isolate GW715_bin.16 GW715_bin.16-8299, whole genome shotgun sequence
NZ_CP049107.1        -         nhaA-I               RF03057    cm        1       55  2252233  2252287      +    no    1 0.71   0.1   56.0   1.9e-05 !   Sphingomonas sp. MK52 chromosome, complete genome
NZ_CP009533.1        -         nhaA-I               RF03057    cm        1       55  1400502  1400563      +    no    1 0.66   0.0   56.0   1.9e-05 !   Pseudomonas rhizosphaerae strain DSM 16299 chromosome, complete genome
JAFGIS010000664.1    -         nhaA-I               RF03057    cm        1       55    16993    16943      -    no    1 0.71   0.0   56.0   1.9e-05 !   Polyangiaceae bacterium isolate Zod_Metabat.23 k87_14801343, whole genome shotgun sequence
NC_017075.1          -         nhaA-I               RF03057    cm        1       55  1809734  1809683      -    no    1 0.81   1.1   55.9   1.9e-05 !   Rubrivivax gelatinosus IL144, complete sequence
JAFIGS010000031.1    -         nhaA-I               RF03057    cm        1       55    88212    88260      +    no    1 0.76   0.1   55.9     2e-05 !   Pseudolabrys sp. isolate HJP_bin35 k141_207803, whole genome shotgun sequence
JAEUJW010000029.1    -         nhaA-I               RF03057    cm        1       55    14353    14404      +    no    1 0.58   0.0   55.9     2e-05 !   Myxococcales bacterium isolate new MAG-79 k141_3537669, whole genome shotgun sequence
LSKJ01000035.1       -         nhaA-I               RF03057    cm        1       55      716      768      +    no    1 0.74   0.1   55.9     2e-05 !   Rhodospirillaceae bacterium CCH5-H10 CCH5-H10_contig35, whole genome shotgun sequence
PMCS01000028.1       -         nhaA-I               RF03057    cm        1       55    44052    44002      -    no    1 0.51   0.0   55.9     2e-05 !   Candidatus Omnitrophica bacterium isolate fen_1318 73.20120700_E3M.124_contig_53289, whole genome shotgun sequence
QFOA01000017.1       -         nhaA-I               RF03057    cm        1       55     9156     9104      -    no    1 0.70   0.0   55.8   2.2e-05 !   Sphingobium sp. isolate S2_012_000_R2_84 S2_012_000_R2_scaffold_495, whole genome shotgun sequence
JADJPQ010000009.1    -         nhaA-I               RF03057    cm        1       55   253429   253482      +    no    1 0.72   0.0   55.6   2.3e-05 !   Planctomycetes bacterium isolate Fred_18-Q3-R57-64_BATAC.530 tig00007322-10-4181700, whole genome shotgun sequence
JAAYLN010000317.1    -         nhaA-I               RF03057    cm        1       55     3034     3088      +    no    1 0.65   0.0   55.6   2.3e-05 !   Lentisphaerae bacterium isolate AS15tlH2ME_36 108881_AS15, whole genome shotgun sequence
JAFGIS010000664.1    -         nhaA-I               RF03057    cm        1       55     4468     4418      -    no    1 0.75   0.0   55.6   2.4e-05 !   Polyangiaceae bacterium isolate Zod_Metabat.23 k87_14801343, whole genome shotgun sequence
NZ_JACHWM010000035.1 -         nhaA-I               RF03057    cm        1       55     5821     5765      -    no    1 0.70   0.1   55.6   2.4e-05 !   Methylobacterium sp. R2-1 Ga0299752_35, whole genome shotgun sequence
MHGQ01000056.1       -         nhaA-I               RF03057    cm        1       55     5628     5578      -    no    1 0.65   0.0   55.6   2.4e-05 !   Omnitrophica WOR_2 bacterium RIFCSPHIGHO2_02_FULL_50_17 rifcsphigho2_02_scaffold_4980, whole genome shotgun sequence
JACQWX010000044.1    -         nhaA-I               RF03057    cm        1       55     5305     5251      -    no    1 0.71   0.0   55.5   2.5e-05 !   Elusimicrobia bacterium isolate NC_groundwater_1500_Pr4_B-0.1um_67_5 SR1-18-B1_scaffold_77820, whole genome shotgun sequence
NZ_SLXD01000031.1    -         nhaA-I               RF03057    cm        1       55     1423     1372      -    no    1 0.81   0.8   55.4   2.6e-05 !   Rubrivivax gelatinosus strain DSM 1709 Ga0310528_131, whole genome shotgun sequence
NZ_FNTZ01000001.1    -         nhaA-I               RF03057    cm        1       55  1488862  1488923      +    no    1 0.66   0.0   55.4   2.7e-05 !   Pseudomonas coleopterorum strain LMG 28558, whole genome shotgun sequence
NZ_CP012109.1        -         nhaA-I               RF03057    cm        1       55   972289   972241      -    no    1 0.78   0.1   55.3   2.7e-05 !   Myxococcus hansupus strain contaminant ex DSM 436 chromosome, complete genome
NZ_RFLX01000003.1    -         nhaA-I               RF03057    cm        1       55   115515   115460      -    no    1 0.75   0.3   55.3   2.8e-05 !   Roseomonas sp. Z23 Scaffold3, whole genome shotgun sequence
JACQWT010000136.1    -         nhaA-I               RF03057    cm        1       55     7149     7099      -    no    1 0.80   0.9   55.3   2.8e-05 !   Deltaproteobacteria bacterium isolate NC_groundwater_1496_Pr4_B-0.1um_72_3 SR1-18-B1_scaffold_115733, whole genome shotgun sequence
NZ_FOGD01000001.1    -         nhaA-I               RF03057    cm        1       55   289637   289585      -    no    1 0.70   0.0   55.2   2.9e-05 !   Giesbergeria anulus strain ATCC 35958, whole genome shotgun sequence
NZ_JAHOOZ010000002.1 -         nhaA-I               RF03057    cm        1       55   111291   111347      +    no    1 0.65   0.0   55.2   2.9e-05 !   Novosphingobium sp. G106 Seq2_len=382536_segment0, whole genome shotgun sequence
NZ_LMNL01000005.1    -         nhaA-I               RF03057    cm        1       55    21777    21834      +    no    1 0.78   0.5   55.2   2.9e-05 !   Methylobacterium sp. Leaf117 contig_13, whole genome shotgun sequence
JADJYS010000027.1    -         nhaA-I               RF03057    cm        1       55    14629    14685      +    no    1 0.72   0.0   55.1     3e-05 !   Bacterium isolate Lyne_18-Q3-R50-59_BATAC.526 tig00117188-10-185150, whole genome shotgun sequence
NZ_BNCN01000001.1    -         nhaA-I               RF03057    cm        1       55   901322   901370      +    no    1 0.71   0.0   55.1     3e-05 !   Comamonas sp. KCTC 72670 sequence01, whole genome shotgun sequence
NZ_JACIJN010000004.1 -         nhaA-I               RF03057    cm        1       55   199033   199088      +    no    1 0.68   0.0   55.1   3.1e-05 !   Sphingomonas endophytica strain DSM 101535 Ga0373358_04, whole genome shotgun sequence
NZ_QXTJ01000040.1    -         nhaA-I               RF03057    cm        1       55   142413   142475      +    no    1 0.68   0.0   55.1   3.1e-05 !   Pseudomonas sp. LS-2 scaffold8, whole genome shotgun sequence
NZ_BBWJ01000049.1    -         nhaA-I               RF03057    cm        1       55    49398    49453      +    no    1 0.71   0.0   55.1   3.2e-05 !   Aureimonas sp. AU22, whole genome shotgun sequence
NZ_AEWG01000012.1    -         nhaA-I               RF03057    cm        1       55     7836     7785      -    no    1 0.79   0.5   55.1   3.2e-05 !   Rubrivivax benzoatilyticus JA2 = ATCC BAA-35 strain JA2 contig_12, whole genome shotgun sequence
NZ_JEMG01000001.1    -         nhaA-I               RF03057    cm        1       55    68479    68428      -    no    1 0.71   0.0   55.0   3.2e-05 !   Hylemonella gracilis str. Niagara R Hg_01scaffold, whole genome shotgun sequence
PHBN01000183.1       -         nhaA-I               RF03057    cm        1       55     2698     2645      -    no    1 0.50   0.0   55.0   3.3e-05 !   Deltaproteobacteria bacterium HGW-Deltaproteobacteria-1 yuki_s1_sub10_scaffold_1071, whole genome shotgun sequence
NZ_NBBI01000001.1    -         nhaA-I               RF03057    cm        1       55   444698   444753      +    no    1 0.73   0.1   55.0   3.4e-05 !   Sphingomonas dokdonensis strain DSM 21029 SPDO_contig000001, whole genome shotgun sequence
NZ_CP048421.1        -         nhaA-I               RF03057    cm        1       55   182628   182679      +    no    1 0.67   0.0   54.9   3.4e-05 !   Sphingomonas insulae strain KCTC 12872 plasmid unnamed3, complete sequence
NZ_LMDY01000008.1    -         nhaA-I               RF03057    cm        1       55     9890     9943      +    no    1 0.76   0.2   54.9   3.6e-05 !   Methylibium sp. Root1272 contig_16, whole genome shotgun sequence
NZ_WJIE01000003.1    -         nhaA-I               RF03057    cm        1       55   839614   839662      +    no    1 0.71   0.0   54.8   3.6e-05 !   Polyangium spumosum strain DSM 14734 Scaffold3, whole genome shotgun sequence
NZ_PJRS01000006.1    -         nhaA-I               RF03057    cm        1       55    16561    16614      +    no    1 0.74   0.1   54.8   3.6e-05 !   Caulobacter zeae strain 410 SGCZ5, whole genome shotgun sequence
JAEUHQ010000016.1    -         nhaA-I               RF03057    cm        1       55    17717    17665      -    no    1 0.75   0.1   54.8   3.7e-05 !   Planctomycetes bacterium isolate new MAG-21 k141_3215046, whole genome shotgun sequence
NCHQ01000010.1       -         nhaA-I               RF03057    cm        1       55    16781    16833      +    no    1 0.74   0.0   54.7   3.9e-05 !   Rhodospirillales bacterium 24-66-33 04302015_24_scaffold_29, whole genome shotgun sequence
JAGNNA010000045.1    -         nhaA-I               RF03057    cm        1       55     5298     5246      -    no    1 0.74   0.0   54.7   3.9e-05 !   MAG: Reyranella sp. isolate Go_SlAct_bin_341 Go_SlAct_10375_length_19778_cov_4.336573, whole genome shotgun sequence
NZ_SSMQ01000013.1    -         nhaA-I               RF03057    cm        1       55   176640   176688      +    no    1 0.71   0.0   54.7   3.9e-05 !   Polyangium fumosum strain DSM 14668 Scaffold13_1, whole genome shotgun sequence
JABTUA010000003.1    -         nhaA-I               RF03057    cm        1       55  1213330  1213281      -    no    1 0.78   0.2   54.7   3.9e-05 !   Polyangiaceae bacterium isolate H2_MYX1 seq003, whole genome shotgun sequence
CAJAFJ010000017.1    -         nhaA-I               RF03057    cm        1       55      419      368      -    no    1 0.63   0.0   54.7     4e-05 !   uncultured beta proteobacterium isolate Loc090519-4m_bin-359 genome assembly, contig: bin-359:017/770, whole genome shotgun sequence
NZ_NEVT01000006.1    -         nhaA-I               RF03057    cm        1       55   296141   296086      -    no    1 0.71   0.0   54.7     4e-05 !   Bordetella genomosp. 2 strain AU8256 NODE_29_length_1664_cov_29.9571_ID_57, whole genome shotgun sequence
JACRDR010000508.1    -         nhaA-I               RF03057    cm        1       55     8517     8467      -    no    1 0.71   0.0   54.6   4.1e-05 !   Elusimicrobia bacterium isolate NC_groundwater_1677_Pr3_B-0.1um_68_8 SR-2_scaffold_141_4175364, whole genome shotgun sequence
NC_015677.1          -         nhaA-I               RF03057    cm        1       55  1201949  1202001      +    no    1 0.85   6.9   54.5   4.3e-05 !   Ramlibacter tataouinensis TTB310, complete sequence
CADEGN010000009.1    -         nhaA-I               RF03057    cm        1       55    53875    53825      -    no    1 0.76   0.1   54.4   4.5e-05 !   uncultured Myxococcales bacterium isolate Myxococcales sp. RBC066 genome assembly, contig: MAG066_9, whole genome shotgun sequence
JADJRH010000001.1    -         nhaA-I               RF03057    cm        1       55  2282241  2282189      -    no    1 0.70   0.0   54.4   4.6e-05 !   Polyangiaceae bacterium isolate Fred_18-Q3-R57-64_MAXAC.407 tig00000220-10-52028170, whole genome shotgun sequence
NZ_JACAQA010000003.1 -         nhaA-I               RF03057    cm        1       55   515008   515070      +    no    1 0.62   0.0   54.4   4.7e-05 !   Pseudomonas gingeri strain G9001 run0228_G9001_S4_L004_contig_3, whole genome shotgun sequence
NZ_CP033231.1        -         nhaA-I               RF03057    cm        1       55  4169163  4169107      -    no    1 0.67   0.0   54.4   4.7e-05 !   Methylobacterium brachiatum strain TX0642 chromosome
NZ_CP046622.1        -         nhaA-I               RF03057    cm        1       55  1128153  1128207      +    no    1 0.69   0.0   54.4   4.7e-05 !   Variovorax paradoxus strain CSUSB chromosome, complete genome
NZ_CP011125.1        -         nhaA-I               RF03057    cm        1       55  6712094  6712045      -    no    1 0.80   0.4   54.3   4.7e-05 !   Sandaracinus amylolyticus strain DSM 53668 chromosome, complete genome
PGXT01000229.1       -         nhaA-I               RF03057    cm        1       55     1630     1576      -    no    1 0.51   0.0   54.3   4.7e-05 !   Spirochaetae bacterium HGW-Spirochaetae-5 bjp_ig2069_scaffold_14532, whole genome shotgun sequence
NZ_ARQE01000001.1    -         nhaA-I               RF03057    cm        1       55   202822   202876      +    no    1 0.76   0.2   54.3   4.8e-05 !   Aureimonas ureilytica DSM 18598 = NBRC 106430 strain DSM 18598 B146DRAFT_scaffold_0.1_C, whole genome shotgun sequence
MNXB01000049.1       -         nhaA-I               RF03057    cm        1       55     7425     7479      +    no    1 0.56   0.0   54.3   4.8e-05 !   Elusimicrobia bacterium CG1_02_37_114 cg_0.2_sub10_scaffold_842_c, whole genome shotgun sequence
NZ_LZZW01000019.1    -         nhaA-I               RF03057    cm        1       55    26016    26069      +    no    1 0.69   0.0   54.3   4.8e-05 !   Variovorax sp. UMC13 VC13_contig000019, whole genome shotgun sequence
NZ_RKMB01000002.1    -         nhaA-I               RF03057    cm        1       55   191613   191663      +    no    1 0.75   0.0   54.3   4.8e-05 !   Ramlibacter sp. WS9 NODE_2_length_612727_cov_37.2678_ID_3073, whole genome shotgun sequence
JADJEE010000002.1    -         nhaA-I               RF03057    cm        1       55   925494   925544      +    no    1 0.76   0.1   54.3     5e-05 !   Deltaproteobacteria bacterium isolate Aved_18-Q3-R54-62_MAXAC.397_sub tig00000742-10-22539860, whole genome shotgun sequence
CAILUI010000351.1    -         nhaA-I               RF03057    cm        1       55    53526    53472      -    no    1 0.73   0.1   54.2     5e-05 !   uncultured Victivallales bacterium isolate Loclat_bin-09902 genome assembly, contig: bin-09902:351/466, whole genome shotgun sequence
NZ_JACIAY010000009.1 -         nhaA-I               RF03057    cm        1       55   112825   112880      +    no    1 0.84   6.9   54.2   5.1e-05 !   Sphingomonas sp. BK580 Ga0365309_09, whole genome shotgun sequence
NZ_QAOG01000007.1    -         nhaA-I               RF03057    cm        1       55   225477   225528      +    no    1 0.63   0.0   54.2   5.2e-05 !   Sphingomonas aurantiaca strain MA101b Ga0191660_107, whole genome shotgun sequence
NC_015138.1          -         nhaA-I               RF03057    cm        1       55  4962505  4962555      +    no    1 0.69   0.0   54.2   5.2e-05 !   Acidovorax avenae subsp. avenae ATCC 19860, complete sequence
NZ_LT907988.1        -         nhaA-I               RF03057    cm        1       55  3427892  3427947      +    no    1 0.62   0.0   54.2   5.2e-05 !   Orrella dioscoreae isolate Orrdi1 chromosome I, complete sequence
JADJYS010000014.1    -         nhaA-I               RF03057    cm        1       55   118166   118110      -    no    1 0.70   0.0   54.2   5.3e-05 !   Bacterium isolate Lyne_18-Q3-R50-59_BATAC.526 tig00020059-10-1434330, whole genome shotgun sequence
JACRHS010000007.1    -         nhaA-I               RF03057    cm        1       55    23016    23067      +    no    1 0.65   0.0   54.1   5.4e-05 !   Opitutae bacterium isolate NC_groundwater_1783_Pr3_B-0.1um_64_19 SR-2_scaffold_141_559045, whole genome shotgun sequence
NZ_JAERQZ010000001.1 -         nhaA-I               RF03057    cm        1       55  3240969  3241024      +    no    1 0.73   0.0   54.1   5.4e-05 !   Piscinibacter sp. HJYY11 contig1, whole genome shotgun sequence
JADKIY010000001.1    -         nhaA-I               RF03057    cm        1       55   845559   845507      -    no    1 0.55   0.0   54.1   5.5e-05 !   Elusimicrobia bacterium isolate Skiv_18-Q3-R9-52_MAXAC.212 tig00000460-10-8469010, whole genome shotgun sequence
NZ_FNDR01000008.1    -         nhaA-I               RF03057    cm        1       55    55066    55128      +    no    1 0.70   0.0   54.1   5.5e-05 !   Variovorax sp. OV700, whole genome shotgun sequence
CADEDM010000139.1    -         nhaA-I               RF03057    cm        1       55    11254    11303      +    no    1 0.72   0.0   54.1   5.5e-05 !   uncultured Acidobacteria bacterium isolate Acidobacteria sp. RBC084 genome assembly, contig: MAG084_139, whole genome shotgun sequence
JADKKI010000006.1    -         nhaA-I               RF03057    cm        1       55   376465   376417      -    no    1 0.73   0.0   54.1   5.6e-05 !   Myxococcales bacterium isolate Vibo_18-Q3-R45-57_MAXAC.190 tig00002740-10-4476520, whole genome shotgun sequence
SCVU01000696.1       -         nhaA-I               RF03057    cm        1       55     4605     4556      -    no    1 0.68   0.0   54.0   5.7e-05 !   Planctomycetes bacterium isolate GW928_bin.9 GW928_bin.9-38415-1, whole genome shotgun sequence
JADGNY010000097.1    -         nhaA-I               RF03057    cm        1       55    23224    23173      -    no    1 0.67   0.0   54.0   5.7e-05 !   Thermoanaerobaculia bacterium isolate Chersky.31_28 contig-100_476, whole genome shotgun sequence
JADGNZ010000048.1    -         nhaA-I               RF03057    cm        1       55    35091    35142      +    no    1 0.67   0.0   54.0   5.7e-05 !   Thermoanaerobaculia bacterium isolate Chersky.9_17 contig-100_66, whole genome shotgun sequence
PLOH01000151.1       -         nhaA-I               RF03057    cm        1       55    12088    12140      +    no    1 0.68   0.0   54.0   5.7e-05 !   Opitutae bacterium isolate fen_1464 73.20120800_E1D.18_contig_2415, whole genome shotgun sequence
NZ_FNEY01000036.1    -         nhaA-I               RF03057    cm        1       55     4564     4614      +    no    1 0.73   0.0   54.0   5.8e-05 !   Acidovorax citrulli strain DSM 17060, whole genome shotgun sequence
NZ_LMQV01000020.1    -         nhaA-I               RF03057    cm        1       55     6894     6948      +    no    1 0.76   0.2   54.0   5.8e-05 !   Methylobacterium sp. Leaf456 contig_27, whole genome shotgun sequence
JACDCA010000717.1    -         nhaA-I               RF03057    cm        1       55      803      754      -    no    1 0.72   0.0   54.0   5.8e-05 !   Acidobacteria bacterium isolate MGR_bin296 SD2897-2912_k127_1335414, whole genome shotgun sequence
JAAYVD010000123.1    -         nhaA-I               RF03057    cm        1       55    97223    97172      -    no    1 0.60   0.0   53.9     6e-05 !   Candidatus Riflebacteria bacterium isolate AS27yjCOA_28 122737_AS27, whole genome shotgun sequence
QEKZ01000023.1       -         nhaA-I               RF03057    cm        1       55    40211    40266      +    no    1 0.73   0.1   53.9   6.1e-05 !   Methylobacterium organophilum strain DSM 760 Ga0215672_123, whole genome shotgun sequence
SCOE01000010.1       -         nhaA-I               RF03057    cm        1       55   104303   104355      +    no    1 0.77   0.5   53.9   6.2e-05 !   Comamonadaceae bacterium ALPHA2B NODE_10_length_168300_cov_32.632195, whole genome shotgun sequence
JADJZR010000028.1    -         nhaA-I               RF03057    cm        1       55    70888    70838      -    no    1 0.65   0.0   53.8   6.5e-05 !   Elusimicrobia bacterium isolate Lyne_18-Q3-R50-59_MAXAC.215 tig00322439-10-3427020, whole genome shotgun sequence
